userid,orderType
100000000371,0.001
100000001215,0.001
100000001445,0.001
100000001575,0.999
100000001601,0.001
100000001737,0.999
100000001829,0.001
100000002055,0.001
100000002241,0.001
100000003067,0.001
100000004161,0.999
100000004307,0.001
100000004855,0.999
100000005055,0.001
100000005701,0.001
100000006247,0.001
100000006327,0.001
100000006333,0.001
100000006397,0.001
100000007397,0.5284513831138611
100000007525,0.2867409884929657
100000007951,0.38229867815971375
100000007955,0.001
100000008131,0.001
100000008427,0.001
100000008745,0.001
100000009049,0.001
100000009197,0.2295546978712082
100000009419,0.001
100000009629,0.001
100000009961,0.999
100000010157,0.999
100000011403,0.001
100000012993,0.001
100000013089,0.999
100000013205,0.001
100000013455,0.001
100000013591,0.001
100000013861,0.001
100000014191,0.001
100000014963,0.001
100000015053,0.001
100000015077,0.999
100000015351,0.999
100000015659,0.999
100000016411,0.001
100000016637,0.001
100000016665,0.001
100000016715,0.001
100000016843,0.001
100000017191,0.001
100000017255,0.001
100000017517,0.001
100000017533,0.001
100000018131,0.999
100000018141,0.001
100000018219,0.001
100000018439,0.001
100000018651,0.001
100000018843,0.001
100000019085,0.001
100000019503,0.001
100000019777,0.001
100000019831,0.001
100000019875,0.3066653311252594
100000020599,0.2908899784088135
100000020705,0.21650096774101255
100000020839,0.001
100000021007,0.001
100000021741,0.001
100000023031,0.001
100000023341,0.001
100000023847,0.001
110020671228,0.999
110100014968,0.001
110100016420,0.001
110100016422,0.001
110100018261,0.001
110100035666,0.001
110100073025,0.001
110100073927,0.999
110100116029,0.001
110100133766,0.001
110100171523,0.001
110100173226,0.001
110100218469,0.001
110100235669,0.001
110100316927,0.001
110100335267,0.001
110100371520,0.001
110100373224,0.001
110100412425,0.001
110100418260,0.001
110100418567,0.7713934779167175
110100471522,0.001
110100471527,0.001
110100473324,0.001
110100512827,0.001
110100514267,0.001
110100516521,0.001
110100516723,0.001
110100516929,0.999
110100535662,0.001
110100573222,0.999
110100573627,0.001
110100614362,0.001
110100614562,0.999
110100618862,0.001
110100635761,0.001
110100673622,0.001
110100673828,0.001
110100735369,0.38078346848487854
110100816922,0.001
110100818367,0.3888812959194183
110100835466,0.001
110100835868,0.001
110100871522,0.999
110100873722,0.001
110100933760,0.999
110100973525,0.001
110101018063,0.001
110101018362,0.001
110101035263,0.001
110101071220,0.001
110101071222,0.001
110101071527,0.001
110101073025,0.001
110101073225,0.6236130595207214
110101073822,0.001
110101112320,0.001
110101114064,0.6496168971061707
110101114660,0.3564470410346985
110101118361,0.001
110101135467,0.001
110101173725,0.001
110101210069,0.5225576758384705
110101212223,0.001
110101215122,0.3163245320320129
110101216420,0.001
110101216527,0.7393077611923218
110101216821,0.001
110101217027,0.999
110101217820,0.001
110101217824,0.999
110101218861,0.999
110101233064,0.999
110101273629,0.001
110101273724,0.001
110101273826,0.001
110101273925,0.001
110101312122,0.5162698626518251
110101314164,0.001
110101316227,0.001
110101316624,0.999
110101335164,0.5616037249565125
110101335961,0.001
110101373120,0.001
110101373626,0.001
110101410927,0.999
110101416523,0.999
110101416629,0.001
