特征,权重
11,0.241076976184034
26,0.24107697618403393
10,0.24091689578937284
24,0.2409168957893728
22,0.18944461052504674
23,0.18622154051976983
25,0.17580837671592384
7,0.171781283638706
27,0.17178128363870598
12,0.17178128363870598
1,0.16820581210167868
6,0.16820581210167868
date,0.16820581210167868
4,0.15966081908126942
5,0.15374984805601524
21,0.056183658996242926
9,0.05618365899624291
18,-0.04488435461150407
19,-0.048238140648878665
20,-0.04968796354554108
3,-0.11199765409405332
8,-0.22236286413267767
17,-0.22236286413267767
16,-0.2257545615760401
15,-0.227805529709335
14,-0.40396923984267635
2,-0.536809277480441
day_of_week,-0.536809277480441
13,-0.554966728586813
