0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1.0,1.0,3.0,1.0,1.0,1.0,0.002857142857142857,1.0,3.0,1.0,1.0,1.0,0.002857142857142857,9.0,3.0,3.0,3.0,0.008571428571428572,1.0,1.0,1.0,0.002857142857142857,1.0,1.0,0.002857142857142857,1.0,0.002857142857142857,8.163265306122448e-06
1.0,2.0,4.0,2.0,2.0,2.0,0.005714285714285714,4.0,8.0,4.0,4.0,4.0,0.011428571428571429,16.0,8.0,8.0,8.0,0.022857142857142857,4.0,4.0,4.0,0.011428571428571429,4.0,4.0,0.011428571428571429,4.0,0.011428571428571429,3.265306122448979e-05
1.0,3.0,5.0,3.0,3.0,3.0,0.008571428571428572,9.0,15.0,9.0,9.0,9.0,0.025714285714285717,25.0,15.0,15.0,15.0,0.04285714285714286,9.0,9.0,9.0,0.025714285714285717,9.0,9.0,0.025714285714285717,9.0,0.025714285714285717,7.346938775510205e-05
1.0,4.0,6.0,4.0,4.0,4.0,0.011428571428571429,16.0,24.0,16.0,16.0,16.0,0.045714285714285714,36.0,24.0,24.0,24.0,0.06857142857142857,16.0,16.0,16.0,0.045714285714285714,16.0,16.0,0.045714285714285714,16.0,0.045714285714285714,0.00013061224489795917
1.0,5.0,7.0,5.0,5.0,5.0,0.014285714285714285,25.0,35.0,25.0,25.0,25.0,0.07142857142857142,49.0,35.0,35.0,35.0,0.09999999999999999,25.0,25.0,25.0,0.07142857142857142,25.0,25.0,0.07142857142857142,25.0,0.07142857142857142,0.0002040816326530612
1.0,6.0,1.0,6.0,6.0,6.0,0.017142857142857144,36.0,6.0,36.0,36.0,36.0,0.10285714285714287,1.0,6.0,6.0,6.0,0.017142857142857144,36.0,36.0,36.0,0.10285714285714287,36.0,36.0,0.10285714285714287,36.0,0.10285714285714287,0.0002938775510204082
1.0,7.0,2.0,7.0,7.0,7.0,0.02,49.0,14.0,49.0,49.0,49.0,0.14,4.0,14.0,14.0,14.0,0.04,49.0,49.0,49.0,0.14,49.0,49.0,0.14,49.0,0.14,0.0004
1.0,8.0,3.0,8.0,8.0,8.0,0.022857142857142857,64.0,24.0,64.0,64.0,64.0,0.18285714285714286,9.0,24.0,24.0,24.0,0.06857142857142857,64.0,64.0,64.0,0.18285714285714286,64.0,64.0,0.18285714285714286,64.0,0.18285714285714286,0.0005224489795918367
1.0,9.0,4.0,9.0,9.0,9.0,0.025714285714285714,81.0,36.0,81.0,81.0,81.0,0.23142857142857143,16.0,36.0,36.0,36.0,0.10285714285714286,81.0,81.0,81.0,0.23142857142857143,81.0,81.0,0.23142857142857143,81.0,0.23142857142857143,0.0006612244897959183
1.0,10.0,5.0,10.0,10.0,10.0,0.02857142857142857,100.0,50.0,100.0,100.0,100.0,0.2857142857142857,25.0,50.0,50.0,50.0,0.14285714285714285,100.0,100.0,100.0,0.2857142857142857,100.0,100.0,0.2857142857142857,100.0,0.2857142857142857,0.0008163265306122448
1.0,11.0,6.0,11.0,11.0,11.0,0.03142857142857143,121.0,66.0,121.0,121.0,121.0,0.34571428571428575,36.0,66.0,66.0,66.0,0.18857142857142858,121.0,121.0,121.0,0.34571428571428575,121.0,121.0,0.34571428571428575,121.0,0.34571428571428575,0.0009877551020408164
1.0,12.0,1.0,12.0,12.0,12.0,0.03428571428571429,144.0,12.0,144.0,144.0,144.0,0.4114285714285715,1.0,12.0,12.0,12.0,0.03428571428571429,144.0,144.0,144.0,0.4114285714285715,144.0,144.0,0.4114285714285715,144.0,0.4114285714285715,0.0011755102040816327
1.0,13.0,2.0,13.0,13.0,13.0,0.037142857142857144,169.0,26.0,169.0,169.0,169.0,0.4828571428571429,4.0,26.0,26.0,26.0,0.07428571428571429,169.0,169.0,169.0,0.4828571428571429,169.0,169.0,0.4828571428571429,169.0,0.4828571428571429,0.001379591836734694
1.0,14.0,3.0,14.0,14.0,14.0,0.04,196.0,42.0,196.0,196.0,196.0,0.56,9.0,42.0,42.0,42.0,0.12,196.0,196.0,196.0,0.56,196.0,196.0,0.56,196.0,0.56,0.0016
1.0,15.0,4.0,15.0,15.0,15.0,0.04285714285714286,225.0,60.0,225.0,225.0,225.0,0.6428571428571429,16.0,60.0,60.0,60.0,0.17142857142857143,225.0,225.0,225.0,0.6428571428571429,225.0,225.0,0.6428571428571429,225.0,0.6428571428571429,0.0018367346938775511
1.0,16.0,5.0,16.0,16.0,16.0,0.045714285714285714,256.0,80.0,256.0,256.0,256.0,0.7314285714285714,25.0,80.0,80.0,80.0,0.22857142857142856,256.0,256.0,256.0,0.7314285714285714,256.0,256.0,0.7314285714285714,256.0,0.7314285714285714,0.0020897959183673468
1.0,17.0,6.0,17.0,17.0,17.0,0.04857142857142857,289.0,102.0,289.0,289.0,289.0,0.8257142857142857,36.0,102.0,102.0,102.0,0.2914285714285714,289.0,289.0,289.0,0.8257142857142857,289.0,289.0,0.8257142857142857,289.0,0.8257142857142857,0.002359183673469388
1.0,18.0,7.0,18.0,18.0,18.0,0.05142857142857143,324.0,126.0,324.0,324.0,324.0,0.9257142857142857,49.0,126.0,126.0,126.0,0.36,324.0,324.0,324.0,0.9257142857142857,324.0,324.0,0.9257142857142857,324.0,0.9257142857142857,0.0026448979591836732
1.0,19.0,1.0,19.0,19.0,19.0,0.054285714285714284,361.0,19.0,361.0,361.0,361.0,1.0314285714285714,1.0,19.0,19.0,19.0,0.054285714285714284,361.0,361.0,361.0,1.0314285714285714,361.0,361.0,1.0314285714285714,361.0,1.0314285714285714,0.002946938775510204
1.0,20.0,2.0,20.0,20.0,20.0,0.05714285714285714,400.0,40.0,400.0,400.0,400.0,1.1428571428571428,4.0,40.0,40.0,40.0,0.11428571428571428,400.0,400.0,400.0,1.1428571428571428,400.0,400.0,1.1428571428571428,400.0,1.1428571428571428,0.0032653061224489793
1.0,21.0,3.0,21.0,21.0,21.0,0.06,441.0,63.0,441.0,441.0,441.0,1.26,9.0,63.0,63.0,63.0,0.18,441.0,441.0,441.0,1.26,441.0,441.0,1.26,441.0,1.26,0.0036
1.0,22.0,4.0,22.0,22.0,22.0,0.06285714285714286,484.0,88.0,484.0,484.0,484.0,1.382857142857143,16.0,88.0,88.0,88.0,0.25142857142857145,484.0,484.0,484.0,1.382857142857143,484.0,484.0,1.382857142857143,484.0,1.382857142857143,0.003951020408163266
1.0,23.0,5.0,23.0,23.0,23.0,0.06571428571428571,529.0,115.0,529.0,529.0,529.0,1.5114285714285713,25.0,115.0,115.0,115.0,0.32857142857142857,529.0,529.0,529.0,1.5114285714285713,529.0,529.0,1.5114285714285713,529.0,1.5114285714285713,0.0043183673469387755
1.0,24.0,6.0,24.0,24.0,24.0,0.06857142857142857,576.0,144.0,576.0,576.0,576.0,1.645714285714286,36.0,144.0,144.0,144.0,0.4114285714285715,576.0,576.0,576.0,1.645714285714286,576.0,576.0,1.645714285714286,576.0,1.645714285714286,0.004702040816326531
1.0,25.0,1.0,25.0,25.0,25.0,0.07142857142857142,625.0,25.0,625.0,625.0,625.0,1.7857142857142856,1.0,25.0,25.0,25.0,0.07142857142857142,625.0,625.0,625.0,1.7857142857142856,625.0,625.0,1.7857142857142856,625.0,1.7857142857142856,0.00510204081632653
