r_date,date,brand,cnt,day_of_week,is_relax_day,dorelax_day_mean,weekmean,monthmean,month,year,day_of_week1,day_of_week2,day_of_week3,day_of_week4,day_of_week5,day_of_week6,day_of_week7,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,year1,year2,year3,year4,brand1,brand2,brand3,brand4,brand5
2015-03-04,1.0,1,20.0,3.0,0,20.0,20.0,20.0,3,2015,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-03-04,1.0,2,501.4899597167969,3.0,0,,,,3,2015,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015-03-04,1.0,3,501.4899597167969,3.0,0,,,,3,2015,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-03-04,1.0,4,501.4899597167969,3.0,0,,,,3,2015,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-03-04,1.0,5,48.0,3.0,0,48.0,48.0,48.0,3,2015,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2015-03-05,2.0,1,16.0,4.0,0,18.0,18.0,18.0,3,2015,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-03-05,2.0,2,369.5325622558594,4.0,0,,,,3,2015,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015-03-05,2.0,3,20.0,4.0,0,20.0,20.0,20.0,3,2015,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-03-05,2.0,4,369.5325622558594,4.0,0,,,,3,2015,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-03-05,2.0,5,89.40235900878906,4.0,0,48.0,48.0,48.0,3,2015,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2015-03-06,3.0,1,1411.0,5.0,0,482.33333333333326,482.33333333333326,482.33333333333326,3,2015,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-03-06,3.0,2,811.0,5.0,0,811.0,811.0,811.0,3,2015,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015-03-06,3.0,3,1005.0,5.0,0,512.5,512.5,512.5,3,2015,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-03-06,3.0,4,773.0,5.0,0,773.0,773.0,773.0,3,2015,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-03-06,3.0,5,1565.0,5.0,0,806.5,806.5,806.5,3,2015,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2015-03-07,4.0,1,1176.0,6.0,1,482.33333333333326,655.75,655.75,3,2015,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-03-07,4.0,2,824.0,6.0,1,811.0,817.5,817.5,3,2015,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015-03-07,4.0,3,802.0,6.0,1,512.5,609.0,609.0,3,2015,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-03-07,4.0,4,1057.0,6.0,1,773.0,915.0,915.0,3,2015,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-03-07,4.0,5,1107.0,6.0,1,806.5,906.6666666666665,906.6666666666665,3,2015,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2015-03-08,5.0,1,812.0,7.0,1,482.33333333333326,687.0,687.0,3,2015,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-03-08,5.0,2,549.0,7.0,1,811.0,728.0,728.0,3,2015,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015-03-08,5.0,3,579.0,7.0,1,512.5,601.5,601.5,3,2015,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-03-08,5.0,4,759.0,7.0,1,773.0,863.0,863.0,3,2015,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-03-08,5.0,5,647.0,7.0,1,806.5,841.75,841.75,3,2015,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2015-03-09,6.0,1,889.0,1.0,0,584.0,720.6666666666665,720.6666666666665,3,2015,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-03-09,6.0,2,545.0,1.0,0,678.0,682.25,682.25,3,2015,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015-03-09,6.0,3,599.0,1.0,0,541.3333333333334,601.0,601.0,3,2015,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-03-09,6.0,4,725.0,1.0,0,749.0,828.5,828.5,3,2015,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-03-09,6.0,5,638.0,1.0,0,750.3333333333335,801.0,801.0,3,2015,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2015-03-10,7.0,1,893.0,2.0,0,645.8,745.2857142857142,745.2857142857142,3,2015,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-03-10,7.0,2,618.0,2.0,0,658.0,669.4,669.4,3,2015,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015-03-10,7.0,3,642.0,2.0,0,566.5,607.8333333333334,607.8333333333334,3,2015,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-03-10,7.0,4,1298.0,2.0,0,932.0,922.4,922.4,3,2015,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-03-10,7.0,5,695.0,2.0,0,736.5,783.3333333333335,783.3333333333335,3,2015,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2015-03-11,8.0,1,569.0,3.0,0,633.0,823.7142857142858,723.25,3,2015,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-03-11,8.0,2,532.0,3.0,0,626.5,646.5,646.5,3,2015,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015-03-11,8.0,3,674.0,3.0,0,588.0,617.2857142857142,617.2857142857142,3,2015,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-03-11,8.0,4,648.0,3.0,0,861.0,876.6666666666665,876.6666666666665,3,2015,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-03-11,8.0,5,673.0,3.0,0,723.8,887.5,767.5714285714287,3,2015,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2015-03-12,9.0,1,623.0,4.0,0,631.5714285714286,910.4285714285713,712.1111111111112,3,2015,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-03-12,9.0,2,441.0,4.0,0,589.4,617.1428571428571,617.1428571428571,3,2015,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015-03-12,9.0,3,510.0,4.0,0,575.0,687.2857142857142,603.875,3,2015,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-03-12,9.0,4,554.0,4.0,0,799.6,830.5714285714287,830.5714285714287,3,2015,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-03-12,9.0,5,585.0,4.0,0,700.6666666666665,844.2857142857142,744.75,3,2015,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2015-03-13,10.0,1,470.0,5.0,0,611.375,776.0,687.9,3,2015,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-03-13,10.0,2,418.0,5.0,0,560.8333333333334,561.0,592.25,3,2015,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015-03-13,10.0,3,321.0,5.0,0,538.7142857142857,589.5714285714286,572.4444444444445,3,2015,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-03-13,10.0,4,459.0,5.0,0,742.8333333333335,785.7142857142858,784.125,3,2015,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-03-13,10.0,5,741.0,5.0,0,706.4285714285713,726.5714285714287,744.3333333333335,3,2015,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2015-03-14,11.0,1,87.0,6.0,1,611.375,620.4285714285714,633.2727272727273,3,2015,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-03-14,11.0,2,32.0,6.0,1,560.8333333333334,447.8571428571428,530.0,3,2015,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015-03-14,11.0,3,27.0,6.0,1,538.7142857142857,478.8571428571428,517.9,3,2015,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-03-14,11.0,4,152.88116455078125,6.0,1,742.8333333333335,740.5,784.125,3,2015,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-03-14,11.0,5,129.0,6.0,1,706.4285714285713,586.8571428571429,682.8,3,2015,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2015-03-15,,1,285.9116516113281,7.0,1,611.375,588.5,633.2727272727273,3,2015,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-03-15,,2,126.8068618774414,7.0,1,560.8333333333334,431.0,530.0,3,2015,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015-03-15,,3,153.0084686279297,7.0,1,538.7142857142857,462.16666666666674,517.9,3,2015,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-03-15,,4,459.2921142578125,7.0,1,742.8333333333335,736.8,784.125,3,2015,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
