date,day_of_week,cnt
1,3,68
2,4,36
3,5,5565
4,6,4966
5,7,3346
6,1,3396
7,2,4146
8,3,3096
9,4,2713
10,5,2409
11,6,275
12,1,2735
13,2,2386
14,3,1901
15,4,6072
16,5,2716
17,6,216
18,7,22
19,1,3903
20,2,2700
21,3,2700
22,4,2073
23,5,1702
24,6,231
25,1,3377
26,2,3016
27,3,2586
28,4,1652
29,5,2726
30,6,279
31,7,23
32,1,4094
33,2,4059
34,3,3741
35,4,2567
36,5,761
37,4,19
38,5,13
39,6,2847
40,7,2936
41,1,2377
42,2,1740
43,3,2563
44,4,1896
45,5,1552
46,6,186
47,1,1874
48,2,1844
49,3,1919
50,4,1191
51,5,1816
52,6,87
53,1,1843
54,2,1900
55,3,1615
56,4,1461
57,5,1514
58,6,180
59,7,41
60,1,1933
61,2,1812
62,3,1763
63,4,1386
64,5,1345
65,6,113
66,1,1797
67,2,1889
68,3,1445
69,4,1452
70,5,1559
71,6,198
72,1,1739
73,2,1794
74,3,1464
75,4,1279
76,5,1601
77,6,171
78,7,22
79,1,744
80,2,2424
81,3,1959
82,4,60
83,5,51
84,6,30
85,7,1929
86,1,1745
87,2,2143
88,3,1709
89,4,1294
90,5,1527
91,6,198
92,1,2164
93,2,1631
94,3,1859
95,4,1447
96,5,1514
97,6,137
98,7,36
99,1,2104
100,2,1584
101,3,1449
102,4,1102
103,5,1774
104,6,1462
105,7,1626
106,1,73
107,4,2484
108,5,1723
109,6,104
110,1,2427
111,2,2587
112,3,2220
113,4,1142
114,5,1934
115,6,121
116,7,23
117,1,2509
118,2,2284
119,3,2068
120,4,1088
121,5,2030
122,6,38
123,1,1940
124,2,2342
125,3,5581
126,4,2333
127,5,1931
128,6,140
129,1,1794
130,2,2055
131,3,1658
132,4,1497
133,5,1161
134,6,113
135,7,14
136,1,2374
137,2,1885
138,3,1606
139,4,1690
140,5,1354
141,6,1266
142,7,1309
143,1,89
144,4,2265
145,5,1721
146,6,150
147,7,26
148,1,1612
149,2,2178
150,3,1539
151,4,1067
152,5,1325
153,6,85
154,7,36
155,1,1778
156,2,2336
157,3,1487
158,4,1025
159,5,1659
160,6,183
161,1,1819
162,2,1781
163,3,1924
164,4,1256
165,5,1526
166,6,108
167,7,14
168,1,1804
169,2,1615
170,3,1558
171,4,810
172,5,1603
173,6,94
174,7,23
175,1,2141
176,2,1759
177,3,1506
178,4,1271
179,5,1633
180,6,154
181,7,14
182,1,2028
183,2,2033
184,3,1346
185,4,1031
186,5,1290
187,6,42
188,1,1961
189,2,1751
190,3,1505
191,4,1477
192,5,1892
193,6,81
194,1,2100
195,2,1905
196,3,1682
197,4,1370
198,5,985
199,6,27
200,1,1804
201,2,1760
202,3,1951
203,4,1058
204,5,1150
205,6,363
206,1,2765
207,2,2281
208,3,1064
209,4,1438
210,5,1698
211,6,122
212,7,14
213,1,2106
214,2,1811
215,3,1751
216,4,1433
217,5,1034
218,6,73
219,7,26
220,1,1775
221,2,2032
222,3,1607
223,4,861
224,5,1534
225,6,371
226,1,1794
227,2,1965
228,3,1408
229,4,1762
230,5,1329
231,6,188
232,1,2288
233,2,1900
234,3,2101
235,4,48
236,5,13
237,7,2933
238,1,2330
239,2,2483
240,3,1949
241,4,1898
242,5,2025
243,6,243
244,7,2876
245,1,2172
246,3,117
247,5,17
248,6,16
249,7,19
250,2,4723
251,3,2681
252,4,1876
253,5,1339
254,6,1414
255,7,19
256,1,2250
257,2,2669
258,3,2540
259,4,997
260,5,1808
261,6,171
262,1,1909
263,2,2541
264,3,1722
265,4,1606
266,5,1664
267,6,192
268,1,2436
269,2,2077
270,3,1789
271,4,1321
272,5,1714
273,6,129
274,1,2059
275,2,1849
276,3,1631
277,4,1197
278,5,2099
279,6,206
280,1,1712
281,2,2338
282,3,2103
283,4,1130
284,5,1693
285,6,170
286,1,2057
287,2,2160
288,3,1519
289,4,1357
290,5,1698
291,6,192
292,7,22
293,1,2118
294,2,2170
295,3,1681
296,4,1454
297,5,1849
298,6,778
299,1,2290
300,2,2126
301,3,2309
302,4,1288
303,5,1654
304,6,377
305,1,2026
306,2,2002
307,3,2739
308,4,1726
309,5,1474
310,6,255
311,1,2156
