0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,cnt,date,day_of_week
1.0,1.0,3.0,1.0,1.0,1.0,0.002857142857142857,1.0,3.0,1.0,1.0,1.0,0.002857142857142857,9.0,3.0,3.0,3.0,0.008571428571428572,1.0,1.0,1.0,0.002857142857142857,1.0,1.0,0.002857142857142857,1.0,0.002857142857142857,8.163265306122447e-06,68,1,3
1.0,2.0,4.0,2.0,2.0,2.0,0.005714285714285714,4.0,8.0,4.0,4.0,4.0,0.011428571428571429,16.0,8.0,8.0,8.0,0.022857142857142857,4.0,4.0,4.0,0.011428571428571429,4.0,4.0,0.011428571428571429,4.0,0.011428571428571429,3.2653061224489787e-05,36,2,4
1.0,3.0,5.0,3.0,3.0,3.0,0.008571428571428572,9.0,15.0,9.0,9.0,9.0,0.025714285714285717,25.0,15.0,15.0,15.0,0.042857142857142864,9.0,9.0,9.0,0.025714285714285717,9.0,9.0,0.025714285714285717,9.0,0.025714285714285717,7.346938775510205e-05,5565,3,5
1.0,4.0,6.0,4.0,4.0,4.0,0.011428571428571429,16.0,24.0,16.0,16.0,16.0,0.045714285714285714,36.0,24.0,24.0,24.0,0.06857142857142857,16.0,16.0,16.0,0.045714285714285714,16.0,16.0,0.045714285714285714,16.0,0.045714285714285714,0.00013061224489795915,4966,4,6
1.0,5.0,7.0,5.0,5.0,5.0,0.014285714285714284,25.0,35.0,25.0,25.0,25.0,0.07142857142857142,49.0,35.0,35.0,35.0,0.1,25.0,25.0,25.0,0.07142857142857142,25.0,25.0,0.07142857142857142,25.0,0.07142857142857142,0.00020408163265306118,3346,5,7
1.0,6.0,1.0,6.0,6.0,6.0,0.017142857142857144,36.0,6.0,36.0,36.0,36.0,0.10285714285714287,1.0,6.0,6.0,6.0,0.017142857142857144,36.0,36.0,36.0,0.10285714285714287,36.0,36.0,0.10285714285714287,36.0,0.10285714285714287,0.0002938775510204082,3396,6,1
1.0,7.0,2.0,7.0,7.0,7.0,0.02,49.0,14.0,49.0,49.0,49.0,0.14,4.0,14.0,14.0,14.0,0.04,49.0,49.0,49.0,0.14,49.0,49.0,0.14,49.0,0.14,0.0004,4146,7,2
1.0,8.0,3.0,8.0,8.0,8.0,0.022857142857142857,64.0,24.0,64.0,64.0,64.0,0.18285714285714288,9.0,24.0,24.0,24.0,0.06857142857142857,64.0,64.0,64.0,0.18285714285714288,64.0,64.0,0.18285714285714288,64.0,0.18285714285714288,0.0005224489795918367,3096,8,3
1.0,9.0,4.0,9.0,9.0,9.0,0.025714285714285717,81.0,36.0,81.0,81.0,81.0,0.23142857142857146,16.0,36.0,36.0,36.0,0.10285714285714287,81.0,81.0,81.0,0.23142857142857146,81.0,81.0,0.23142857142857146,81.0,0.23142857142857146,0.0006612244897959183,2713,9,4
1.0,10.0,5.0,10.0,10.0,10.0,0.028571428571428567,100.0,50.0,100.0,100.0,100.0,0.2857142857142857,25.0,50.0,50.0,50.0,0.14285714285714285,100.0,100.0,100.0,0.2857142857142857,100.0,100.0,0.2857142857142857,100.0,0.2857142857142857,0.0008163265306122447,2409,10,5
1.0,11.0,6.0,11.0,11.0,11.0,0.03142857142857143,121.0,66.0,121.0,121.0,121.0,0.3457142857142857,36.0,66.0,66.0,66.0,0.18857142857142856,121.0,121.0,121.0,0.3457142857142857,121.0,121.0,0.3457142857142857,121.0,0.3457142857142857,0.0009877551020408164,275,11,6
1.0,12.0,1.0,12.0,12.0,12.0,0.03428571428571429,144.0,12.0,144.0,144.0,144.0,0.4114285714285715,1.0,12.0,12.0,12.0,0.03428571428571429,144.0,144.0,144.0,0.4114285714285715,144.0,144.0,0.4114285714285715,144.0,0.4114285714285715,0.0011755102040816327,2735,12,1
1.0,13.0,2.0,13.0,13.0,13.0,0.03714285714285714,169.0,26.0,169.0,169.0,169.0,0.4828571428571429,4.0,26.0,26.0,26.0,0.07428571428571429,169.0,169.0,169.0,0.4828571428571429,169.0,169.0,0.4828571428571429,169.0,0.4828571428571429,0.001379591836734694,2386,13,2
1.0,14.0,3.0,14.0,14.0,14.0,0.04,196.0,42.0,196.0,196.0,196.0,0.56,9.0,42.0,42.0,42.0,0.12,196.0,196.0,196.0,0.56,196.0,196.0,0.56,196.0,0.56,0.0016,1901,14,3
1.0,15.0,4.0,15.0,15.0,15.0,0.042857142857142864,225.0,60.0,225.0,225.0,225.0,0.6428571428571429,16.0,60.0,60.0,60.0,0.17142857142857146,225.0,225.0,225.0,0.6428571428571429,225.0,225.0,0.6428571428571429,225.0,0.6428571428571429,0.0018367346938775511,6072,15,4
1.0,16.0,5.0,16.0,16.0,16.0,0.045714285714285714,256.0,80.0,256.0,256.0,256.0,0.7314285714285714,25.0,80.0,80.0,80.0,0.22857142857142854,256.0,256.0,256.0,0.7314285714285714,256.0,256.0,0.7314285714285714,256.0,0.7314285714285714,0.0020897959183673468,2716,16,5
1.0,17.0,6.0,17.0,17.0,17.0,0.04857142857142857,289.0,102.0,289.0,289.0,289.0,0.8257142857142857,36.0,102.0,102.0,102.0,0.2914285714285714,289.0,289.0,289.0,0.8257142857142857,289.0,289.0,0.8257142857142857,289.0,0.8257142857142857,0.002359183673469388,216,17,6
1.0,18.0,7.0,18.0,18.0,18.0,0.051428571428571435,324.0,126.0,324.0,324.0,324.0,0.9257142857142856,49.0,126.0,126.0,126.0,0.36,324.0,324.0,324.0,0.9257142857142856,324.0,324.0,0.9257142857142856,324.0,0.9257142857142856,0.0026448979591836732,22,18,7
