date,day_of_week,cnt,cycle2,cycle5,cycle5_2,cycle10
1,3,68,1,1,1,0.002857142857142857
2,4,36,2,2,2,0.005714285714285714
3,5,5565,3,3,3,0.008571428571428572
4,6,4966,4,4,4,0.011428571428571429
5,7,3346,5,5,5,0.014285714285714285
6,1,3396,6,6,6,0.017142857142857144
7,2,4146,7,7,7,0.02
8,3,3096,8,8,8,0.022857142857142857
9,4,2713,9,9,9,0.025714285714285714
10,5,2409,10,10,10,0.02857142857142857
11,6,275,11,11,11,0.03142857142857143
12,1,2735,12,12,12,0.03428571428571429
13,2,2386,13,13,13,0.037142857142857144
14,3,1901,14,14,14,0.04
15,4,6072,15,15,15,0.04285714285714286
16,5,2716,16,16,16,0.045714285714285714
17,6,216,17,17,17,0.04857142857142857
18,7,22,18,18,18,0.05142857142857143
19,1,3903,19,19,19,0.054285714285714284
20,2,2700,20,20,20,0.05714285714285714
21,3,2700,21,21,21,0.06
22,4,2073,22,22,22,0.06285714285714286
23,5,1702,23,23,23,0.06571428571428571
24,6,231,24,24,24,0.06857142857142857
25,1,3377,25,25,25,0.07142857142857142
26,2,3016,26,26,26,0.07428571428571429
27,3,2586,27,27,27,0.07714285714285714
28,4,1652,28,28,28,0.08
29,5,2726,29,29,29,0.08285714285714285
30,6,279,30,30,30,0.08571428571428572
31,7,23,31,31,31,0.08857142857142856
32,1,4094,32,32,32,0.09142857142857143
33,2,4059,33,33,33,0.09428571428571429
34,3,3741,34,34,34,0.09714285714285714
35,4,2567,35,35,35,0.1
36,5,761,36,36,36,0.10285714285714286
37,4,19,37,37,37,0.10571428571428572
38,5,13,38,38,38,0.10857142857142857
39,6,2847,39,39,39,0.11142857142857143
40,7,2936,40,40,40,0.11428571428571428
41,1,2377,41,41,41,0.11714285714285715
42,2,1740,42,42,42,0.12
43,3,2563,43,43,43,0.12285714285714286
44,4,1896,44,44,44,0.12571428571428572
45,5,1552,45,45,45,0.12857142857142856
46,6,186,46,46,46,0.13142857142857142
47,1,1874,47,47,47,0.13428571428571429
48,2,1844,48,48,48,0.13714285714285715
49,3,1919,49,49,49,0.14
50,4,1191,50,50,50,0.14285714285714285
51,5,1816,51,51,51,0.1457142857142857
52,6,87,52,52,52,0.14857142857142858
53,1,1843,53,53,53,0.15142857142857144
54,2,1900,54,54,54,0.15428571428571428
55,3,1615,55,55,55,0.15714285714285714
56,4,1461,56,56,56,0.16
57,5,1514,57,57,57,0.16285714285714287
58,6,180,58,58,58,0.1657142857142857
59,7,41,59,59,59,0.16857142857142857
60,1,1933,60,60,60,0.17142857142857143
61,2,1812,61,61,61,0.1742857142857143
62,3,1763,62,62,62,0.17714285714285713
63,4,1386,63,63,63,0.18
64,5,1345,64,64,64,0.18285714285714286
65,6,113,65,65,65,0.18571428571428572
66,1,1797,66,66,66,0.18857142857142858
67,2,1889,67,67,67,0.19142857142857142
68,3,1445,68,68,68,0.19428571428571428
69,4,1452,69,69,69,0.19714285714285715
70,5,1559,70,70,70,0.2
71,6,198,71,71,71,0.20285714285714285
72,1,1739,72,72,72,0.2057142857142857
73,2,1794,73,73,73,0.20857142857142857
74,3,1464,74,74,74,0.21142857142857144
75,4,1279,75,75,75,0.21428571428571427
76,5,1601,76,76,76,0.21714285714285714
77,6,171,77,77,77,0.22
78,7,22,78,78,78,0.22285714285714286
79,1,744,79,79,79,0.2257142857142857
80,2,2424,80,80,80,0.22857142857142856
81,3,1959,81,81,81,0.23142857142857143
82,4,60,82,82,82,0.2342857142857143
83,5,51,83,83,83,0.23714285714285716
84,6,30,84,84,84,0.24
85,7,1929,85,85,85,0.24285714285714285
86,1,1745,86,86,86,0.24571428571428572
87,2,2143,87,87,87,0.24857142857142858
88,3,1709,88,88,88,0.25142857142857145
89,4,1294,89,89,89,0.2542857142857143
90,5,1527,90,90,90,0.2571428571428571
91,6,198,91,91,91,0.26
92,1,2164,92,92,92,0.26285714285714284
93,2,1631,93,93,93,0.26571428571428574
94,3,1859,94,94,94,0.26857142857142857
95,4,1447,95,95,95,0.2714285714285714
96,5,1514,96,96,96,0.2742857142857143
97,6,137,97,97,97,0.27714285714285714
98,7,36,98,98,98,0.28
99,1,2104,99,99,99,0.28285714285714286
100,2,1584,100,100,100,0.2857142857142857
101,3,1449,101,101,101,0.2885714285714286
102,4,1102,102,102,102,0.2914285714285714
103,5,1774,103,103,103,0.29428571428571426
