0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1.0,1.0,3.0,1.0,2013.0,2.0,1.0,3.0,1.0,2013.0,2.0,9.0,3.0,6039.0,6.0,1.0,2013.0,2.0,4052169.0,4026.0,4.0
1.0,2.0,4.0,1.0,2013.0,3.0,4.0,8.0,2.0,4026.0,6.0,16.0,4.0,8052.0,12.0,1.0,2013.0,3.0,4052169.0,6039.0,9.0
1.0,3.0,5.0,1.0,2013.0,4.0,9.0,15.0,3.0,6039.0,12.0,25.0,5.0,10065.0,20.0,1.0,2013.0,4.0,4052169.0,8052.0,16.0
1.0,4.0,6.0,1.0,2013.0,5.0,16.0,24.0,4.0,8052.0,20.0,36.0,6.0,12078.0,30.0,1.0,2013.0,5.0,4052169.0,10065.0,25.0
1.0,5.0,7.0,1.0,2013.0,6.0,25.0,35.0,5.0,10065.0,30.0,49.0,7.0,14091.0,42.0,1.0,2013.0,6.0,4052169.0,12078.0,36.0
1.0,6.0,1.0,1.0,2013.0,7.0,36.0,6.0,6.0,12078.0,42.0,1.0,1.0,2013.0,7.0,1.0,2013.0,7.0,4052169.0,14091.0,49.0
1.0,7.0,2.0,1.0,2013.0,8.0,49.0,14.0,7.0,14091.0,56.0,4.0,2.0,4026.0,16.0,1.0,2013.0,8.0,4052169.0,16104.0,64.0
1.0,8.0,3.0,1.0,2013.0,9.0,64.0,24.0,8.0,16104.0,72.0,9.0,3.0,6039.0,27.0,1.0,2013.0,9.0,4052169.0,18117.0,81.0
1.0,9.0,4.0,1.0,2013.0,10.0,81.0,36.0,9.0,18117.0,90.0,16.0,4.0,8052.0,40.0,1.0,2013.0,10.0,4052169.0,20130.0,100.0
1.0,10.0,5.0,1.0,2013.0,11.0,100.0,50.0,10.0,20130.0,110.0,25.0,5.0,10065.0,55.0,1.0,2013.0,11.0,4052169.0,22143.0,121.0
1.0,11.0,6.0,1.0,2013.0,12.0,121.0,66.0,11.0,22143.0,132.0,36.0,6.0,12078.0,72.0,1.0,2013.0,12.0,4052169.0,24156.0,144.0
1.0,12.0,1.0,1.0,2013.0,14.0,144.0,12.0,12.0,24156.0,168.0,1.0,1.0,2013.0,14.0,1.0,2013.0,14.0,4052169.0,28182.0,196.0
1.0,13.0,2.0,1.0,2013.0,15.0,169.0,26.0,13.0,26169.0,195.0,4.0,2.0,4026.0,30.0,1.0,2013.0,15.0,4052169.0,30195.0,225.0
1.0,14.0,3.0,1.0,2013.0,16.0,196.0,42.0,14.0,28182.0,224.0,9.0,3.0,6039.0,48.0,1.0,2013.0,16.0,4052169.0,32208.0,256.0
1.0,15.0,4.0,1.0,2013.0,17.0,225.0,60.0,15.0,30195.0,255.0,16.0,4.0,8052.0,68.0,1.0,2013.0,17.0,4052169.0,34221.0,289.0
1.0,16.0,5.0,1.0,2013.0,18.0,256.0,80.0,16.0,32208.0,288.0,25.0,5.0,10065.0,90.0,1.0,2013.0,18.0,4052169.0,36234.0,324.0
1.0,17.0,6.0,1.0,2013.0,19.0,289.0,102.0,17.0,34221.0,323.0,36.0,6.0,12078.0,114.0,1.0,2013.0,19.0,4052169.0,38247.0,361.0
1.0,18.0,7.0,1.0,2013.0,20.0,324.0,126.0,18.0,36234.0,360.0,49.0,7.0,14091.0,140.0,1.0,2013.0,20.0,4052169.0,40260.0,400.0
1.0,19.0,1.0,1.0,2013.0,21.0,361.0,19.0,19.0,38247.0,399.0,1.0,1.0,2013.0,21.0,1.0,2013.0,21.0,4052169.0,42273.0,441.0
1.0,20.0,2.0,1.0,2013.0,22.0,400.0,40.0,20.0,40260.0,440.0,4.0,2.0,4026.0,44.0,1.0,2013.0,22.0,4052169.0,44286.0,484.0
1.0,21.0,3.0,1.0,2013.0,23.0,441.0,63.0,21.0,42273.0,483.0,9.0,3.0,6039.0,69.0,1.0,2013.0,23.0,4052169.0,46299.0,529.0
1.0,22.0,4.0,1.0,2013.0,24.0,484.0,88.0,22.0,44286.0,528.0,16.0,4.0,8052.0,96.0,1.0,2013.0,24.0,4052169.0,48312.0,576.0
1.0,23.0,5.0,1.0,2013.0,25.0,529.0,115.0,23.0,46299.0,575.0,25.0,5.0,10065.0,125.0,1.0,2013.0,25.0,4052169.0,50325.0,625.0
1.0,24.0,6.0,1.0,2013.0,26.0,576.0,144.0,24.0,48312.0,624.0,36.0,6.0,12078.0,156.0,1.0,2013.0,26.0,4052169.0,52338.0,676.0
1.0,25.0,1.0,1.0,2013.0,28.0,625.0,25.0,25.0,50325.0,700.0,1.0,1.0,2013.0,28.0,1.0,2013.0,28.0,4052169.0,56364.0,784.0
1.0,26.0,2.0,1.0,2013.0,29.0,676.0,52.0,26.0,52338.0,754.0,4.0,2.0,4026.0,58.0,1.0,2013.0,29.0,4052169.0,58377.0,841.0
1.0,27.0,3.0,1.0,2013.0,30.0,729.0,81.0,27.0,54351.0,810.0,9.0,3.0,6039.0,90.0,1.0,2013.0,30.0,4052169.0,60390.0,900.0
1.0,28.0,4.0,1.0,2013.0,31.0,784.0,112.0,28.0,56364.0,868.0,16.0,4.0,8052.0,124.0,1.0,2013.0,31.0,4052169.0,62403.0,961.0
1.0,29.0,5.0,2.0,2013.0,1.0,841.0,145.0,58.0,58377.0,29.0,25.0,10.0,10065.0,5.0,4.0,4026.0,2.0,4052169.0,2013.0,1.0
1.0,30.0,6.0,2.0,2013.0,2.0,900.0,180.0,60.0,60390.0,60.0,36.0,12.0,12078.0,12.0,4.0,4026.0,4.0,4052169.0,4026.0,4.0
1.0,31.0,7.0,2.0,2013.0,3.0,961.0,217.0,62.0,62403.0,93.0,49.0,14.0,14091.0,21.0,4.0,4026.0,6.0,4052169.0,6039.0,9.0
1.0,32.0,1.0,2.0,2013.0,4.0,1024.0,32.0,64.0,64416.0,128.0,1.0,2.0,2013.0,4.0,4.0,4026.0,8.0,4052169.0,8052.0,16.0
1.0,33.0,2.0,2.0,2013.0,5.0,1089.0,66.0,66.0,66429.0,165.0,4.0,4.0,4026.0,10.0,4.0,4026.0,10.0,4052169.0,10065.0,25.0
1.0,34.0,3.0,2.0,2013.0,6.0,1156.0,102.0,68.0,68442.0,204.0,9.0,6.0,6039.0,18.0,4.0,4026.0,12.0,4052169.0,12078.0,36.0
1.0,35.0,4.0,2.0,2013.0,7.0,1225.0,140.0,70.0,70455.0,245.0,16.0,8.0,8052.0,28.0,4.0,4026.0,14.0,4052169.0,14091.0,49.0
1.0,36.0,5.0,2.0,2013.0,8.0,1296.0,180.0,72.0,72468.0,288.0,25.0,10.0,10065.0,40.0,4.0,4026.0,16.0,4052169.0,16104.0,64.0
1.0,37.0,4.0,2.0,2013.0,14.0,1369.0,148.0,74.0,74481.0,518.0,16.0,8.0,8052.0,56.0,4.0,4026.0,28.0,4052169.0,28182.0,196.0
1.0,38.0,5.0,2.0,2013.0,15.0,1444.0,190.0,76.0,76494.0,570.0,25.0,10.0,10065.0,75.0,4.0,4026.0,30.0,4052169.0,30195.0,225.0
1.0,39.0,6.0,2.0,2013.0,16.0,1521.0,234.0,78.0,78507.0,624.0,36.0,12.0,12078.0,96.0,4.0,4026.0,32.0,4052169.0,32208.0,256.0
1.0,40.0,7.0,2.0,2013.0,17.0,1600.0,280.0,80.0,80520.0,680.0,49.0,14.0,14091.0,119.0,4.0,4026.0,34.0,4052169.0,34221.0,289.0
1.0,41.0,1.0,2.0,2013.0,18.0,1681.0,41.0,82.0,82533.0,738.0,1.0,2.0,2013.0,18.0,4.0,4026.0,36.0,4052169.0,36234.0,324.0
1.0,42.0,2.0,2.0,2013.0,19.0,1764.0,84.0,84.0,84546.0,798.0,4.0,4.0,4026.0,38.0,4.0,4026.0,38.0,4052169.0,38247.0,361.0
1.0,43.0,3.0,2.0,2013.0,20.0,1849.0,129.0,86.0,86559.0,860.0,9.0,6.0,6039.0,60.0,4.0,4026.0,40.0,4052169.0,40260.0,400.0
