r_date,date,day_of_week
2016-03-14,1032.0,4.0
2016-03-15,1033.0,5.0
2016-03-16,1034.0,6.0
2016-03-18,1035.0,1.0
2016-03-19,1036.0,2.0
2016-03-20,1037.0,3.0
2016-03-21,1038.0,4.0
2016-03-22,1039.0,5.0
2016-03-23,1040.0,6.0
2016-03-25,1041.0,1.0
2016-03-26,1042.0,2.0
2016-03-27,1043.0,3.0
2016-03-28,1044.0,4.0
2016-03-29,1045.0,5.0
2016-03-30,1046.0,6.0
2016-04-01,1047.0,1.0
2016-04-02,1048.0,2.0
2016-04-03,1049.0,3.0
2016-04-04,1050.0,4.0
2016-04-05,1051.0,5.0
2016-04-06,1052.0,6.0
2016-04-09,1053.0,2.0
2016-04-10,1054.0,3.0
2016-04-11,1055.0,4.0
2016-04-12,1056.0,5.0
2016-04-13,1057.0,6.0
2016-04-15,1058.0,1.0
2016-04-16,1059.0,2.0
2016-04-17,1060.0,3.0
2016-04-18,1061.0,4.0
2016-04-19,1062.0,5.0
2016-04-20,1063.0,6.0
2016-04-22,1064.0,1.0
2016-04-23,1065.0,2.0
2016-04-24,1066.0,3.0
2016-04-25,1067.0,4.0
2016-04-26,1068.0,5.0
2016-04-27,1069.0,6.0
2016-04-29,1070.0,1.0
2016-04-30,1071.0,2.0
2016-05-01,1072.0,3.0
2016-05-02,1073.0,4.0
2016-05-03,1074.0,5.0
2016-05-04,1075.0,6.0
2016-05-06,1076.0,1.0
2016-05-07,1077.0,2.0
2016-05-08,1078.0,3.0
2016-05-09,1079.0,4.0
2016-05-10,1080.0,5.0
2016-05-11,1081.0,6.0
2016-05-13,1082.0,1.0
2016-05-14,1083.0,2.0
2016-05-15,1084.0,3.0
2016-05-16,1085.0,4.0
2016-05-17,1086.0,6.0
2016-05-18,1087.0,7.0
2016-05-19,1088.0,1.0
2016-05-20,1089.0,2.0
2016-05-21,1090.0,3.0
2016-05-22,1091.0,4.0
2016-05-23,1092.0,5.0
2016-05-24,1093.0,6.0
2016-05-25,1094.0,7.0
2016-05-26,1095.0,1.0
2016-05-27,1096.0,2.0
2016-05-28,1097.0,3.0
2016-05-29,1098.0,4.0
2016-05-30,1099.0,5.0
2016-05-31,1100.0,6.0
2016-06-02,1101.0,1.0
2016-06-03,1102.0,2.0
2016-06-04,1103.0,3.0
2016-06-05,1104.0,4.0
2016-06-06,1105.0,5.0
2016-06-07,1106.0,6.0
2016-06-09,1107.0,1.0
2016-06-10,1108.0,2.0
2016-06-11,1109.0,3.0
2016-06-12,1110.0,4.0
2016-06-13,1111.0,5.0
2016-06-14,1112.0,6.0
2016-06-16,1113.0,1.0
2016-06-17,1114.0,2.0
2016-06-18,1115.0,3.0
2016-06-19,1116.0,4.0
2016-06-20,1117.0,5.0
2016-06-21,1118.0,6.0
2016-06-23,1119.0,1.0
2016-06-24,1120.0,2.0
2016-06-25,1121.0,3.0
2016-06-26,1122.0,4.0
2016-06-27,1123.0,5.0
2016-06-28,1124.0,6.0
2016-06-30,1125.0,1.0
2016-07-01,1126.0,2.0
2016-07-02,1127.0,3.0
2016-07-03,1128.0,4.0
2016-07-04,1129.0,5.0
2016-07-05,1130.0,6.0
2016-07-07,1131.0,1.0
2016-07-08,1132.0,2.0
2016-07-09,1133.0,3.0
2016-07-10,1134.0,4.0
2016-07-11,1135.0,5.0
2016-07-12,1136.0,6.0
2016-07-14,1137.0,1.0
2016-07-15,1138.0,2.0
2016-07-16,1139.0,3.0
2016-07-17,1140.0,4.0
2016-07-18,1141.0,5.0
2016-07-19,1142.0,6.0
2016-07-21,1143.0,1.0
2016-07-22,1144.0,2.0
2016-07-23,1145.0,3.0
2016-07-24,1146.0,4.0
2016-07-25,1147.0,5.0
2016-07-26,1148.0,6.0
2016-07-27,1149.0,7.0
2016-07-28,1150.0,1.0
2016-07-29,1151.0,2.0
2016-07-30,1152.0,3.0
2016-07-31,1153.0,4.0
2016-08-01,1154.0,5.0
2016-08-02,1155.0,6.0
2016-08-04,1156.0,1.0
2016-08-05,1157.0,2.0
2016-08-06,1158.0,3.0
2016-08-07,1159.0,4.0
2016-08-08,1160.0,5.0
2016-08-09,1161.0,6.0
2016-08-10,1162.0,7.0
2016-08-11,1163.0,1.0
