r_date,date,day_of_week,month,year,day,cnt
2016-03-14,1032.0,4.0,3,2016,14,510
2016-03-15,1033.0,5.0,3,2016,15,2050
2016-03-16,1034.0,6.0,3,2016,16,388
2016-03-18,1035.0,1.0,3,2016,18,2550
2016-03-19,1036.0,2.0,3,2016,19,2899
2016-03-20,1037.0,3.0,3,2016,20,1640
2016-03-21,1038.0,4.0,3,2016,21,1531
2016-03-22,1039.0,5.0,3,2016,22,2309
2016-03-23,1040.0,6.0,3,2016,23,154
2016-03-25,1041.0,1.0,3,2016,25,2563
2016-03-26,1042.0,2.0,3,2016,26,2251
2016-03-27,1043.0,3.0,3,2016,27,1819
2016-03-28,1044.0,4.0,3,2016,28,1471
2016-03-29,1045.0,5.0,3,2016,29,1998
2016-03-30,1046.0,6.0,3,2016,30,399
2016-04-01,1047.0,1.0,4,2016,1,2130
2016-04-02,1048.0,2.0,4,2016,2,2918
2016-04-03,1049.0,3.0,4,2016,3,1983
2016-04-04,1050.0,4.0,4,2016,4,2149
2016-04-05,1051.0,5.0,4,2016,5,2669
2016-04-06,1052.0,6.0,4,2016,6,41
2016-04-09,1053.0,2.0,4,2016,9,3724
2016-04-10,1054.0,3.0,4,2016,10,3311
2016-04-11,1055.0,4.0,4,2016,11,1801
2016-04-12,1056.0,5.0,4,2016,12,2318
2016-04-13,1057.0,6.0,4,2016,13,693
2016-04-15,1058.0,1.0,4,2016,15,2615
2016-04-16,1059.0,2.0,4,2016,16,2726
2016-04-17,1060.0,3.0,4,2016,17,2094
2016-04-18,1061.0,4.0,4,2016,18,2225
2016-04-19,1062.0,5.0,4,2016,19,1476
2016-04-20,1063.0,6.0,4,2016,20,765
2016-04-22,1064.0,1.0,4,2016,22,2691
2016-04-23,1065.0,2.0,4,2016,23,1966
2016-04-24,1066.0,3.0,4,2016,24,2752
2016-04-25,1067.0,4.0,4,2016,25,1620
2016-04-26,1068.0,5.0,4,2016,26,1516
2016-04-27,1069.0,6.0,4,2016,27,757
2016-04-29,1070.0,1.0,4,2016,29,2070
2016-04-30,1071.0,2.0,4,2016,30,2603
2016-05-01,1072.0,3.0,5,2016,1,1796
2016-05-02,1073.0,4.0,5,2016,2,1669
2016-05-03,1074.0,5.0,5,2016,3,2068
2016-05-04,1075.0,6.0,5,2016,4,389
2016-05-06,1076.0,1.0,5,2016,6,2309
2016-05-07,1077.0,2.0,5,2016,7,1916
2016-05-08,1078.0,3.0,5,2016,8,2190
2016-05-09,1079.0,4.0,5,2016,9,1796
2016-05-10,1080.0,5.0,5,2016,10,1939
2016-05-11,1081.0,6.0,5,2016,11,539
2016-05-13,1082.0,1.0,5,2016,13,2809
2016-05-14,1083.0,2.0,5,2016,14,1985
2016-05-15,1084.0,3.0,5,2016,15,2824
2016-05-16,1085.0,4.0,5,2016,16,35
2016-05-17,1086.0,6.0,5,2016,17,50
2016-05-18,1087.0,7.0,5,2016,18,2324
2016-05-19,1088.0,1.0,5,2016,19,1900
2016-05-20,1089.0,2.0,5,2016,20,1854
2016-05-21,1090.0,3.0,5,2016,21,1832
2016-05-22,1091.0,4.0,5,2016,22,1309
2016-05-23,1092.0,5.0,5,2016,23,1578
2016-05-24,1093.0,6.0,5,2016,24,524
2016-05-25,1094.0,7.0,5,2016,25,15
2016-05-26,1095.0,1.0,5,2016,26,1956
2016-05-27,1096.0,2.0,5,2016,27,1805
2016-05-28,1097.0,3.0,5,2016,28,2287
2016-05-29,1098.0,4.0,5,2016,29,1057
2016-05-30,1099.0,5.0,5,2016,30,1499
2016-05-31,1100.0,6.0,5,2016,31,591
2016-06-02,1101.0,1.0,6,2016,2,2120
2016-06-03,1102.0,2.0,6,2016,3,2545
2016-06-04,1103.0,3.0,6,2016,4,2107
2016-06-05,1104.0,4.0,6,2016,5,1568
2016-06-06,1105.0,5.0,6,2016,6,1321
2016-06-07,1106.0,6.0,6,2016,7,631
2016-06-09,1107.0,1.0,6,2016,9,2034
2016-06-10,1108.0,2.0,6,2016,10,2409
2016-06-11,1109.0,3.0,6,2016,11,2008
2016-06-12,1110.0,4.0,6,2016,12,1118
2016-06-13,1111.0,5.0,6,2016,13,1958
2016-06-14,1112.0,6.0,6,2016,14,614
2016-06-16,1113.0,1.0,6,2016,16,2076
2016-06-17,1114.0,2.0,6,2016,17,1936
2016-06-18,1115.0,3.0,6,2016,18,1804
2016-06-19,1116.0,4.0,6,2016,19,1514
2016-06-20,1117.0,5.0,6,2016,20,1939
2016-06-21,1118.0,6.0,6,2016,21,545
2016-06-23,1119.0,1.0,6,2016,23,2041
2016-06-24,1120.0,2.0,6,2016,24,2619
2016-06-25,1121.0,3.0,6,2016,25,2418
2016-06-26,1122.0,4.0,6,2016,26,1643
2016-06-27,1123.0,5.0,6,2016,27,1848
2016-06-28,1124.0,6.0,6,2016,28,798
2016-06-30,1125.0,1.0,6,2016,30,2312
2016-07-01,1126.0,2.0,7,2016,1,2555
2016-07-02,1127.0,3.0,7,2016,2,1954
2016-07-03,1128.0,4.0,7,2016,3,1663
2016-07-04,1129.0,5.0,7,2016,4,2019
2016-07-05,1130.0,6.0,7,2016,5,511
2016-07-07,1131.0,1.0,7,2016,7,2770
2016-07-08,1132.0,2.0,7,2016,8,2175
2016-07-09,1133.0,3.0,7,2016,9,1697
2016-07-10,1134.0,4.0,7,2016,10,1532
2016-07-11,1135.0,5.0,7,2016,11,2045
2016-07-12,1136.0,6.0,7,2016,12,601
2016-07-14,1137.0,1.0,7,2016,14,2898
2016-07-15,1138.0,2.0,7,2016,15,2255
2016-07-16,1139.0,3.0,7,2016,16,2637
2016-07-17,1140.0,4.0,7,2016,17,1675
2016-07-18,1141.0,5.0,7,2016,18,2360
2016-07-19,1142.0,6.0,7,2016,19,585
2016-07-21,1143.0,1.0,7,2016,21,3134
2016-07-22,1144.0,2.0,7,2016,22,2296
2016-07-23,1145.0,3.0,7,2016,23,1489
2016-07-24,1146.0,4.0,7,2016,24,2542
2016-07-25,1147.0,5.0,7,2016,25,1817
2016-07-26,1148.0,6.0,7,2016,26,691
2016-07-27,1149.0,7.0,7,2016,27,24
2016-07-28,1150.0,1.0,7,2016,28,2637
2016-07-29,1151.0,2.0,7,2016,29,2834
2016-07-30,1152.0,3.0,7,2016,30,1908
2016-07-31,1153.0,4.0,7,2016,31,1841
2016-08-01,1154.0,5.0,8,2016,1,2643
2016-08-02,1155.0,6.0,8,2016,2,772
2016-08-04,1156.0,1.0,8,2016,4,2453
2016-08-05,1157.0,2.0,8,2016,5,2602
2016-08-06,1158.0,3.0,8,2016,6,1754
2016-08-07,1159.0,4.0,8,2016,7,1579
2016-08-08,1160.0,5.0,8,2016,8,1913
2016-08-09,1161.0,6.0,8,2016,9,857
2016-08-10,1162.0,7.0,8,2016,10,15
2016-08-11,1163.0,1.0,8,2016,11,2325
2016-08-12,1164.0,2.0,8,2016,12,2851
2016-08-13,1165.0,3.0,8,2016,13,1922
2016-08-14,1166.0,4.0,8,2016,14,1727
2016-08-15,1167.0,5.0,8,2016,15,1555
2016-08-16,1168.0,6.0,8,2016,16,678
2016-08-18,1169.0,1.0,8,2016,18,2886
2016-08-19,1170.0,2.0,8,2016,19,3450
2016-08-20,1171.0,3.0,8,2016,20,2893
2016-08-21,1172.0,4.0,8,2016,21,21
2016-08-22,1173.0,6.0,8,2016,22,28
2016-08-23,1174.0,7.0,8,2016,23,3371
2016-08-24,1175.0,1.0,8,2016,24,2536
2016-08-25,1176.0,2.0,8,2016,25,4636
2016-08-26,1177.0,3.0,8,2016,26,3747
2016-08-27,1178.0,4.0,8,2016,27,1030
2016-08-28,1179.0,5.0,8,2016,28,872
2016-08-29,1180.0,6.0,8,2016,29,250
2016-08-31,1181.0,1.0,8,2016,31,654
2016-09-01,1182.0,2.0,9,2016,1,512
2016-09-02,1183.0,3.0,9,2016,2,338
2016-09-03,1184.0,4.0,9,2016,3,124
2016-09-04,1185.0,5.0,9,2016,4,233
2016-09-09,1186.0,3.0,9,2016,9,205
2016-09-10,1187.0,4.0,9,2016,10,289
2016-09-11,1188.0,5.0,9,2016,11,355
2016-09-12,1189.0,6.0,9,2016,12,6436
2016-09-13,1190.0,7.0,9,2016,13,3507
2016-09-14,1191.0,1.0,9,2016,14,3933
2016-09-15,1192.0,2.0,9,2016,15,4161
2016-09-16,1193.0,3.0,9,2016,16,5025
2016-09-17,1194.0,4.0,9,2016,17,2323
2016-09-18,1195.0,5.0,9,2016,18,2964
2016-09-19,1196.0,6.0,9,2016,19,1221
2016-09-20,1197.0,7.0,9,2016,20,21
2016-09-21,1198.0,1.0,9,2016,21,3895
2016-09-22,1199.0,2.0,9,2016,22,4260
2016-09-23,1200.0,3.0,9,2016,23,3246
2016-09-24,1201.0,4.0,9,2016,24,2155
2016-09-25,1202.0,5.0,9,2016,25,2326
2016-09-26,1203.0,6.0,9,2016,26,652
2016-09-27,1204.0,7.0,9,2016,27,54
2016-09-28,1205.0,1.0,9,2016,28,2981
2016-09-29,1206.0,2.0,9,2016,29,2918
2016-09-30,1207.0,3.0,9,2016,30,2779
2016-10-01,1208.0,4.0,10,2016,1,1776
2016-10-02,1209.0,5.0,10,2016,2,2638
2016-10-03,1210.0,6.0,10,2016,3,853
2016-10-05,1211.0,1.0,10,2016,5,2475
2016-10-06,1212.0,2.0,10,2016,6,3687
2016-10-07,1213.0,3.0,10,2016,7,2507
2016-10-08,1214.0,4.0,10,2016,8,1739
2016-10-09,1215.0,5.0,10,2016,9,2045
2016-10-10,1216.0,6.0,10,2016,10,936
2016-10-11,1217.0,7.0,10,2016,11,40
2016-10-12,1218.0,1.0,10,2016,12,2340
2016-10-13,1219.0,2.0,10,2016,13,2886
2016-10-14,1220.0,3.0,10,2016,14,2402
2016-10-15,1221.0,4.0,10,2016,15,1907
2016-10-16,1222.0,5.0,10,2016,16,2759
2016-10-17,1223.0,6.0,10,2016,17,685
2016-10-18,1224.0,7.0,10,2016,18,40
2016-10-19,1225.0,1.0,10,2016,19,2562
2016-10-20,1226.0,2.0,10,2016,20,2422
2016-10-21,1227.0,3.0,10,2016,21,2876
2016-10-22,1228.0,4.0,10,2016,22,2177
2016-10-23,1229.0,5.0,10,2016,23,2250
2016-10-24,1230.0,6.0,10,2016,24,182
2016-10-26,1231.0,1.0,10,2016,26,2996
2016-10-27,1232.0,2.0,10,2016,27,2681
2016-10-28,1233.0,3.0,10,2016,28,2263
2016-10-29,1234.0,4.0,10,2016,29,2017
2016-10-30,1235.0,5.0,10,2016,30,2566
2016-10-31,1236.0,6.0,10,2016,31,428
2016-11-01,1237.0,7.0,11,2016,1,15
2016-11-02,1238.0,1.0,11,2016,2,3422
2016-11-03,1239.0,2.0,11,2016,3,3314
2016-11-04,1240.0,3.0,11,2016,4,2723
