r_date,date,day_of_week,month,year,day
2017-01-22,1308.0,5.0,1,2017,22
2017-01-23,1309.0,6.0,1,2017,23
2017-01-24,1310.0,7.0,1,2017,24
2017-01-25,1311.0,1.0,1,2017,25
2017-01-26,1312.0,2.0,1,2017,26
2017-01-27,1313.0,3.0,1,2017,27
2017-01-28,1314.0,4.0,1,2017,28
2017-01-29,1315.0,5.0,1,2017,29
2017-01-30,1316.0,6.0,1,2017,30
2017-02-01,1317.0,1.0,2,2017,1
2017-02-02,1318.0,2.0,2,2017,2
2017-02-03,1319.0,3.0,2,2017,3
2017-02-04,1320.0,4.0,2,2017,4
2017-02-05,1321.0,5.0,2,2017,5
2017-02-06,1322.0,6.0,2,2017,6
2017-02-08,1323.0,1.0,2,2017,8
2017-02-09,1324.0,2.0,2,2017,9
2017-02-10,1325.0,3.0,2,2017,10
2017-02-11,1326.0,4.0,2,2017,11
2017-02-12,1327.0,5.0,2,2017,12
2017-02-13,1328.0,6.0,2,2017,13
2017-02-15,1329.0,1.0,2,2017,15
2017-02-16,1330.0,2.0,2,2017,16
2017-02-17,1331.0,3.0,2,2017,17
2017-02-18,1332.0,4.0,2,2017,18
2017-02-19,1333.0,5.0,2,2017,19
2017-02-20,1334.0,6.0,2,2017,20
2017-02-21,1335.0,7.0,2,2017,21
2017-02-22,1336.0,1.0,2,2017,22
2017-02-23,1337.0,2.0,2,2017,23
2017-02-24,1338.0,3.0,2,2017,24
2017-02-25,1339.0,4.0,2,2017,25
2017-02-26,1340.0,5.0,2,2017,26
2017-02-27,1341.0,6.0,2,2017,27
2017-03-01,1342.0,1.0,3,2017,1
2017-03-02,1343.0,2.0,3,2017,2
2017-03-03,1344.0,3.0,3,2017,3
2017-03-04,1345.0,4.0,3,2017,4
2017-03-05,1346.0,5.0,3,2017,5
2017-03-06,1347.0,6.0,3,2017,6
2017-03-07,1348.0,7.0,3,2017,7
2017-03-10,1349.0,3.0,3,2017,10
2017-03-11,1350.0,4.0,3,2017,11
2017-03-12,1351.0,5.0,3,2017,12
2017-03-13,1352.0,6.0,3,2017,13
2017-03-14,1353.0,7.0,3,2017,14
2017-03-15,1354.0,1.0,3,2017,15
2017-03-16,1355.0,2.0,3,2017,16
2017-03-17,1356.0,3.0,3,2017,17
2017-03-18,1357.0,4.0,3,2017,18
2017-03-19,1358.0,5.0,3,2017,19
2017-03-20,1359.0,6.0,3,2017,20
2017-03-21,1360.0,7.0,3,2017,21
2017-03-22,1361.0,1.0,3,2017,22
2017-03-23,1362.0,2.0,3,2017,23
2017-03-24,1363.0,3.0,3,2017,24
2017-03-25,1364.0,4.0,3,2017,25
2017-03-26,1365.0,5.0,3,2017,26
2017-03-27,1366.0,6.0,3,2017,27
2017-03-28,1367.0,7.0,3,2017,28
2017-03-29,1368.0,1.0,3,2017,29
2017-03-30,1369.0,2.0,3,2017,30
2017-03-31,1370.0,3.0,3,2017,31
2017-04-01,1371.0,4.0,4,2017,1
2017-04-02,1372.0,5.0,4,2017,2
2017-04-03,1373.0,6.0,4,2017,3
2017-04-04,1374.0,7.0,4,2017,4
2017-04-05,1375.0,1.0,4,2017,5
2017-04-06,1376.0,2.0,4,2017,6
2017-04-07,1377.0,3.0,4,2017,7
2017-04-08,1378.0,4.0,4,2017,8
2017-04-09,1379.0,5.0,4,2017,9
2017-04-10,1380.0,6.0,4,2017,10
2017-04-11,1381.0,7.0,4,2017,11
2017-04-12,1382.0,1.0,4,2017,12
2017-04-13,1383.0,2.0,4,2017,13
2017-04-14,1384.0,3.0,4,2017,14
2017-04-15,1385.0,4.0,4,2017,15
2017-04-16,1386.0,5.0,4,2017,16
2017-04-17,1387.0,6.0,4,2017,17
2017-04-19,1388.0,1.0,4,2017,19
2017-04-20,1389.0,2.0,4,2017,20
2017-04-21,1390.0,3.0,4,2017,21
2017-04-22,1391.0,4.0,4,2017,22
2017-04-23,1392.0,5.0,4,2017,23
2017-04-24,1393.0,6.0,4,2017,24
2017-04-25,1394.0,7.0,4,2017,25
2017-04-26,1395.0,1.0,4,2017,26
2017-04-27,1396.0,2.0,4,2017,27
2017-04-28,1397.0,3.0,4,2017,28
2017-04-29,1398.0,4.0,4,2017,29
2017-04-30,1399.0,5.0,4,2017,30
2017-05-01,1400.0,6.0,5,2017,1
2017-05-02,1401.0,7.0,5,2017,2
2017-05-04,1402.0,2.0,5,2017,4
2017-05-05,1403.0,3.0,5,2017,5
2017-05-06,1404.0,4.0,5,2017,6
2017-05-07,1405.0,5.0,5,2017,7
2017-05-08,1406.0,6.0,5,2017,8
2017-05-10,1407.0,1.0,5,2017,10
2017-05-11,1408.0,2.0,5,2017,11
2017-05-12,1409.0,3.0,5,2017,12
2017-05-13,1410.0,4.0,5,2017,13
2017-05-14,1411.0,5.0,5,2017,14
