0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,date,day_of_week
1.0,1308.0,5.0,1.0,2017.0,22.0,1710864.0,6540.0,1308.0,2638236.0,28776.0,25.0,5.0,10085.0,110.0,1.0,2017.0,22.0,4068289.0,44374.0,484.0,1308.0,5.0
1.0,1309.0,6.0,1.0,2017.0,23.0,1713481.0,7854.0,1309.0,2640253.0,30107.0,36.0,6.0,12102.0,138.0,1.0,2017.0,23.0,4068289.0,46391.0,529.0,1309.0,6.0
1.0,1310.0,7.0,1.0,2017.0,24.0,1716100.0,9170.0,1310.0,2642270.0,31440.0,49.0,7.0,14119.0,168.0,1.0,2017.0,24.0,4068289.0,48408.0,576.0,1310.0,7.0
1.0,1311.0,1.0,1.0,2017.0,25.0,1718721.0,1311.0,1311.0,2644287.0,32775.0,1.0,1.0,2017.0,25.0,1.0,2017.0,25.0,4068289.0,50425.0,625.0,1311.0,1.0
1.0,1312.0,2.0,1.0,2017.0,26.0,1721344.0,2624.0,1312.0,2646304.0,34112.0,4.0,2.0,4034.0,52.0,1.0,2017.0,26.0,4068289.0,52442.0,676.0,1312.0,2.0
1.0,1313.0,3.0,1.0,2017.0,27.0,1723969.0,3939.0,1313.0,2648321.0,35451.0,9.0,3.0,6051.0,81.0,1.0,2017.0,27.0,4068289.0,54459.0,729.0,1313.0,3.0
1.0,1314.0,4.0,1.0,2017.0,28.0,1726596.0,5256.0,1314.0,2650338.0,36792.0,16.0,4.0,8068.0,112.0,1.0,2017.0,28.0,4068289.0,56476.0,784.0,1314.0,4.0
1.0,1315.0,5.0,1.0,2017.0,29.0,1729225.0,6575.0,1315.0,2652355.0,38135.0,25.0,5.0,10085.0,145.0,1.0,2017.0,29.0,4068289.0,58493.0,841.0,1315.0,5.0
1.0,1316.0,6.0,1.0,2017.0,30.0,1731856.0,7896.0,1316.0,2654372.0,39480.0,36.0,6.0,12102.0,180.0,1.0,2017.0,30.0,4068289.0,60510.0,900.0,1316.0,6.0
1.0,1317.0,1.0,2.0,2017.0,1.0,1734489.0,1317.0,2634.0,2656389.0,1317.0,1.0,2.0,2017.0,1.0,4.0,4034.0,2.0,4068289.0,2017.0,1.0,1317.0,1.0
1.0,1318.0,2.0,2.0,2017.0,2.0,1737124.0,2636.0,2636.0,2658406.0,2636.0,4.0,4.0,4034.0,4.0,4.0,4034.0,4.0,4068289.0,4034.0,4.0,1318.0,2.0
1.0,1319.0,3.0,2.0,2017.0,3.0,1739761.0,3957.0,2638.0,2660423.0,3957.0,9.0,6.0,6051.0,9.0,4.0,4034.0,6.0,4068289.0,6051.0,9.0,1319.0,3.0
1.0,1320.0,4.0,2.0,2017.0,4.0,1742400.0,5280.0,2640.0,2662440.0,5280.0,16.0,8.0,8068.0,16.0,4.0,4034.0,8.0,4068289.0,8068.0,16.0,1320.0,4.0
1.0,1321.0,5.0,2.0,2017.0,5.0,1745041.0,6605.0,2642.0,2664457.0,6605.0,25.0,10.0,10085.0,25.0,4.0,4034.0,10.0,4068289.0,10085.0,25.0,1321.0,5.0
1.0,1322.0,6.0,2.0,2017.0,6.0,1747684.0,7932.0,2644.0,2666474.0,7932.0,36.0,12.0,12102.0,36.0,4.0,4034.0,12.0,4068289.0,12102.0,36.0,1322.0,6.0
1.0,1323.0,1.0,2.0,2017.0,8.0,1750329.0,1323.0,2646.0,2668491.0,10584.0,1.0,2.0,2017.0,8.0,4.0,4034.0,16.0,4068289.0,16136.0,64.0,1323.0,1.0
1.0,1324.0,2.0,2.0,2017.0,9.0,1752976.0,2648.0,2648.0,2670508.0,11916.0,4.0,4.0,4034.0,18.0,4.0,4034.0,18.0,4068289.0,18153.0,81.0,1324.0,2.0
1.0,1325.0,3.0,2.0,2017.0,10.0,1755625.0,3975.0,2650.0,2672525.0,13250.0,9.0,6.0,6051.0,30.0,4.0,4034.0,20.0,4068289.0,20170.0,100.0,1325.0,3.0
1.0,1326.0,4.0,2.0,2017.0,11.0,1758276.0,5304.0,2652.0,2674542.0,14586.0,16.0,8.0,8068.0,44.0,4.0,4034.0,22.0,4068289.0,22187.0,121.0,1326.0,4.0
1.0,1327.0,5.0,2.0,2017.0,12.0,1760929.0,6635.0,2654.0,2676559.0,15924.0,25.0,10.0,10085.0,60.0,4.0,4034.0,24.0,4068289.0,24204.0,144.0,1327.0,5.0
1.0,1328.0,6.0,2.0,2017.0,13.0,1763584.0,7968.0,2656.0,2678576.0,17264.0,36.0,12.0,12102.0,78.0,4.0,4034.0,26.0,4068289.0,26221.0,169.0,1328.0,6.0
1.0,1329.0,1.0,2.0,2017.0,15.0,1766241.0,1329.0,2658.0,2680593.0,19935.0,1.0,2.0,2017.0,15.0,4.0,4034.0,30.0,4068289.0,30255.0,225.0,1329.0,1.0
1.0,1330.0,2.0,2.0,2017.0,16.0,1768900.0,2660.0,2660.0,2682610.0,21280.0,4.0,4.0,4034.0,32.0,4.0,4034.0,32.0,4068289.0,32272.0,256.0,1330.0,2.0
1.0,1331.0,3.0,2.0,2017.0,17.0,1771561.0,3993.0,2662.0,2684627.0,22627.0,9.0,6.0,6051.0,51.0,4.0,4034.0,34.0,4068289.0,34289.0,289.0,1331.0,3.0
1.0,1332.0,4.0,2.0,2017.0,18.0,1774224.0,5328.0,2664.0,2686644.0,23976.0,16.0,8.0,8068.0,72.0,4.0,4034.0,36.0,4068289.0,36306.0,324.0,1332.0,4.0
1.0,1333.0,5.0,2.0,2017.0,19.0,1776889.0,6665.0,2666.0,2688661.0,25327.0,25.0,10.0,10085.0,95.0,4.0,4034.0,38.0,4068289.0,38323.0,361.0,1333.0,5.0
1.0,1334.0,6.0,2.0,2017.0,20.0,1779556.0,8004.0,2668.0,2690678.0,26680.0,36.0,12.0,12102.0,120.0,4.0,4034.0,40.0,4068289.0,40340.0,400.0,1334.0,6.0
1.0,1335.0,7.0,2.0,2017.0,21.0,1782225.0,9345.0,2670.0,2692695.0,28035.0,49.0,14.0,14119.0,147.0,4.0,4034.0,42.0,4068289.0,42357.0,441.0,1335.0,7.0
1.0,1336.0,1.0,2.0,2017.0,22.0,1784896.0,1336.0,2672.0,2694712.0,29392.0,1.0,2.0,2017.0,22.0,4.0,4034.0,44.0,4068289.0,44374.0,484.0,1336.0,1.0
1.0,1337.0,2.0,2.0,2017.0,23.0,1787569.0,2674.0,2674.0,2696729.0,30751.0,4.0,4.0,4034.0,46.0,4.0,4034.0,46.0,4068289.0,46391.0,529.0,1337.0,2.0
1.0,1338.0,3.0,2.0,2017.0,24.0,1790244.0,4014.0,2676.0,2698746.0,32112.0,9.0,6.0,6051.0,72.0,4.0,4034.0,48.0,4068289.0,48408.0,576.0,1338.0,3.0
1.0,1339.0,4.0,2.0,2017.0,25.0,1792921.0,5356.0,2678.0,2700763.0,33475.0,16.0,8.0,8068.0,100.0,4.0,4034.0,50.0,4068289.0,50425.0,625.0,1339.0,4.0
1.0,1340.0,5.0,2.0,2017.0,26.0,1795600.0,6700.0,2680.0,2702780.0,34840.0,25.0,10.0,10085.0,130.0,4.0,4034.0,52.0,4068289.0,52442.0,676.0,1340.0,5.0
1.0,1341.0,6.0,2.0,2017.0,27.0,1798281.0,8046.0,2682.0,2704797.0,36207.0,36.0,12.0,12102.0,162.0,4.0,4034.0,54.0,4068289.0,54459.0,729.0,1341.0,6.0
1.0,1342.0,1.0,3.0,2017.0,1.0,1800964.0,1342.0,4026.0,2706814.0,1342.0,1.0,3.0,2017.0,1.0,9.0,6051.0,3.0,4068289.0,2017.0,1.0,1342.0,1.0
1.0,1343.0,2.0,3.0,2017.0,2.0,1803649.0,2686.0,4029.0,2708831.0,2686.0,4.0,6.0,4034.0,4.0,9.0,6051.0,6.0,4068289.0,4034.0,4.0,1343.0,2.0
