r_date,date,brand,cnt,day_of_week,is_relax_day,dorelax_day_mean,weekmean,monthmean,month,year,day_of_week1,day_of_week2,day_of_week3,day_of_week4,day_of_week5,day_of_week6,day_of_week7,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,year1,year2,year3,year4,brand1,brand2,brand3,brand4,brand5
2013-01-02,1.0,1,20.0,3.0,0,20.0,20.0,20.0,1,2013,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2013-01-02,1.0,2,,3.0,0,,,,1,2013,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2013-01-02,1.0,3,,3.0,0,,,,1,2013,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2013-01-02,1.0,4,,3.0,0,,,,1,2013,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2013-01-02,1.0,5,48.0,3.0,0,48.0,48.0,48.0,1,2013,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2013-01-03,2.0,1,16.0,4.0,0,18.0,18.0,18.0,1,2013,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2013-01-03,2.0,2,,4.0,0,,,,1,2013,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2013-01-03,2.0,3,20.0,4.0,0,20.0,20.0,20.0,1,2013,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2013-01-03,2.0,4,,4.0,0,,,,1,2013,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2013-01-03,2.0,5,,4.0,0,48.0,48.0,48.0,1,2013,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2013-01-04,3.0,1,1411.0,5.0,0,482.3333333333333,482.3333333333333,482.3333333333333,1,2013,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2013-01-04,3.0,2,811.0,5.0,0,811.0,811.0,811.0,1,2013,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2013-01-04,3.0,3,1005.0,5.0,0,512.5,512.5,512.5,1,2013,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2013-01-04,3.0,4,773.0,5.0,0,773.0,773.0,773.0,1,2013,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2013-01-04,3.0,5,1565.0,5.0,0,806.5,806.5,806.5,1,2013,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2013-01-05,4.0,1,1176.0,6.0,1,482.3333333333333,655.75,655.75,1,2013,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2013-01-05,4.0,2,824.0,6.0,1,811.0,817.5,817.5,1,2013,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2013-01-05,4.0,3,802.0,6.0,1,512.5,609.0,609.0,1,2013,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2013-01-05,4.0,4,1057.0,6.0,1,773.0,915.0,915.0,1,2013,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2013-01-05,4.0,5,1107.0,6.0,1,806.5,906.6666666666666,906.6666666666666,1,2013,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2013-01-06,5.0,1,812.0,7.0,1,482.3333333333333,687.0,687.0,1,2013,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2013-01-06,5.0,2,549.0,7.0,1,811.0,728.0,728.0,1,2013,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2013-01-06,5.0,3,579.0,7.0,1,512.5,601.5,601.5,1,2013,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2013-01-06,5.0,4,759.0,7.0,1,773.0,863.0,863.0,1,2013,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2013-01-06,5.0,5,647.0,7.0,1,806.5,841.75,841.75,1,2013,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2013-01-07,6.0,1,889.0,1.0,0,584.0,720.6666666666666,720.6666666666666,1,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2013-01-07,6.0,2,545.0,1.0,0,678.0,682.25,682.25,1,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2013-01-07,6.0,3,599.0,1.0,0,541.3333333333334,601.0,601.0,1,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2013-01-07,6.0,4,725.0,1.0,0,749.0,828.5,828.5,1,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2013-01-07,6.0,5,638.0,1.0,0,750.3333333333334,801.0,801.0,1,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2013-01-08,7.0,1,893.0,2.0,0,645.8,745.2857142857143,745.2857142857143,1,2013,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2013-01-08,7.0,2,618.0,2.0,0,658.0,669.4,669.4,1,2013,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2013-01-08,7.0,3,642.0,2.0,0,566.5,607.8333333333334,607.8333333333334,1,2013,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2013-01-08,7.0,4,1298.0,2.0,0,932.0,922.4,922.4,1,2013,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2013-01-08,7.0,5,695.0,2.0,0,736.5,783.3333333333334,783.3333333333334,1,2013,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2013-01-09,8.0,1,569.0,3.0,0,633.0,823.7142857142857,723.25,1,2013,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2013-01-09,8.0,2,532.0,3.0,0,626.5,646.5,646.5,1,2013,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2013-01-09,8.0,3,674.0,3.0,0,588.0,617.2857142857143,617.2857142857143,1,2013,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2013-01-09,8.0,4,648.0,3.0,0,861.0,876.6666666666666,876.6666666666666,1,2013,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2013-01-09,8.0,5,673.0,3.0,0,723.8,887.5,767.5714285714286,1,2013,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2013-01-10,9.0,1,623.0,4.0,0,631.5714285714286,910.4285714285714,712.1111111111111,1,2013,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2013-01-10,9.0,2,441.0,4.0,0,589.4,617.1428571428571,617.1428571428571,1,2013,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2013-01-10,9.0,3,510.0,4.0,0,575.0,687.2857142857143,603.875,1,2013,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2013-01-10,9.0,4,554.0,4.0,0,799.6,830.5714285714286,830.5714285714286,1,2013,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2013-01-10,9.0,5,585.0,4.0,0,700.6666666666666,844.2857142857143,744.75,1,2013,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
