r_date,date,day_of_week,cnt,month,year,day
2013-01-02,1.0,3.0,68.0,1,2013,2
2013-01-03,2.0,4.0,36.0,1,2013,3
2013-01-04,3.0,5.0,5565.0,1,2013,4
2013-01-05,4.0,6.0,4966.0,1,2013,5
2013-01-06,5.0,7.0,3346.0,1,2013,6
2013-01-07,6.0,1.0,3396.0,1,2013,7
2013-01-08,7.0,2.0,4146.0,1,2013,8
2013-01-09,8.0,3.0,3096.0,1,2013,9
2013-01-10,9.0,4.0,2713.0,1,2013,10
2013-01-11,10.0,5.0,2409.0,1,2013,11
2013-01-12,11.0,6.0,275.0,1,2013,12
2013-01-14,12.0,1.0,2735.0,1,2013,14
2013-01-15,13.0,2.0,2386.0,1,2013,15
2013-01-16,14.0,3.0,1901.0,1,2013,16
2013-01-17,15.0,4.0,6072.0,1,2013,17
2013-01-18,16.0,5.0,2716.0,1,2013,18
2013-01-19,17.0,6.0,216.0,1,2013,19
2013-01-20,18.0,7.0,22.0,1,2013,20
2013-01-21,19.0,1.0,3903.0,1,2013,21
2013-01-22,20.0,2.0,2700.0,1,2013,22
2013-01-23,21.0,3.0,2700.0,1,2013,23
2013-01-24,22.0,4.0,2073.0,1,2013,24
2013-01-25,23.0,5.0,1702.0,1,2013,25
2013-01-26,24.0,6.0,231.0,1,2013,26
2013-01-28,25.0,1.0,3377.0,1,2013,28
2013-01-29,26.0,2.0,3016.0,1,2013,29
2013-01-30,27.0,3.0,2586.0,1,2013,30
2013-01-31,28.0,4.0,1652.0,1,2013,31
2013-02-01,29.0,5.0,2726.0,2,2013,1
2013-02-02,30.0,6.0,279.0,2,2013,2
2013-02-03,31.0,7.0,23.0,2,2013,3
2013-02-04,32.0,1.0,4094.0,2,2013,4
2013-02-05,33.0,2.0,4059.0,2,2013,5
2013-02-06,34.0,3.0,3741.0,2,2013,6
2013-02-07,35.0,4.0,2567.0,2,2013,7
2013-02-08,36.0,5.0,761.0,2,2013,8
2013-02-14,37.0,4.0,19.0,2,2013,14
2013-02-15,38.0,5.0,13.0,2,2013,15
2013-02-16,39.0,6.0,2847.0,2,2013,16
2013-02-17,40.0,7.0,2936.0,2,2013,17
2013-02-18,41.0,1.0,2377.0,2,2013,18
2013-02-19,42.0,2.0,1740.0,2,2013,19
2013-02-20,43.0,3.0,2563.0,2,2013,20
2013-02-21,44.0,4.0,1896.0,2,2013,21
2013-02-22,45.0,5.0,1552.0,2,2013,22
2013-02-23,46.0,6.0,186.0,2,2013,23
2013-02-25,47.0,1.0,1874.0,2,2013,25
2013-02-26,48.0,2.0,1844.0,2,2013,26
2013-02-27,49.0,3.0,1919.0,2,2013,27
2013-02-28,50.0,4.0,1191.0,2,2013,28
2013-03-01,51.0,5.0,1816.0,3,2013,1
2013-03-02,52.0,6.0,87.0,3,2013,2
2013-03-04,53.0,1.0,1843.0,3,2013,4
2013-03-05,54.0,2.0,1900.0,3,2013,5
2013-03-06,55.0,3.0,1615.0,3,2013,6
2013-03-07,56.0,4.0,1461.0,3,2013,7
2013-03-08,57.0,5.0,1514.0,3,2013,8
2013-03-09,58.0,6.0,180.0,3,2013,9
2013-03-10,59.0,7.0,41.0,3,2013,10
2013-03-11,60.0,1.0,1933.0,3,2013,11
2013-03-12,61.0,2.0,1812.0,3,2013,12
2013-03-13,62.0,3.0,1763.0,3,2013,13
2013-03-14,63.0,4.0,1386.0,3,2013,14
2013-03-15,64.0,5.0,1345.0,3,2013,15
2013-03-16,65.0,6.0,113.0,3,2013,16
2013-03-18,66.0,1.0,1797.0,3,2013,18
2013-03-19,67.0,2.0,1889.0,3,2013,19
2013-03-20,68.0,3.0,1445.0,3,2013,20
2013-03-21,69.0,4.0,1452.0,3,2013,21
2013-03-22,70.0,5.0,1559.0,3,2013,22
2013-03-23,71.0,6.0,198.0,3,2013,23
2013-03-25,72.0,1.0,1739.0,3,2013,25
2013-03-26,73.0,2.0,1794.0,3,2013,26
2013-03-27,74.0,3.0,1464.0,3,2013,27
2013-03-28,75.0,4.0,1279.0,3,2013,28
2013-03-29,76.0,5.0,1601.0,3,2013,29
2013-03-30,77.0,6.0,171.0,3,2013,30
2013-03-31,78.0,7.0,22.0,3,2013,31
2013-04-01,79.0,1.0,744.0,4,2013,1
2013-04-02,80.0,2.0,2424.0,4,2013,2
2013-04-03,81.0,3.0,1959.0,4,2013,3
2013-04-04,82.0,4.0,60.0,4,2013,4
2013-04-05,83.0,5.0,51.0,4,2013,5
2013-04-06,84.0,6.0,30.0,4,2013,6
2013-04-07,85.0,7.0,1929.0,4,2013,7
2013-04-08,86.0,1.0,1745.0,4,2013,8
2013-04-09,87.0,2.0,2143.0,4,2013,9
2013-04-10,88.0,3.0,1709.0,4,2013,10
2013-04-11,89.0,4.0,1294.0,4,2013,11
2013-04-12,90.0,5.0,1527.0,4,2013,12
2013-04-13,91.0,6.0,198.0,4,2013,13
2013-04-15,92.0,1.0,2164.0,4,2013,15
2013-04-16,93.0,2.0,1631.0,4,2013,16
2013-04-17,94.0,3.0,1859.0,4,2013,17
2013-04-18,95.0,4.0,1447.0,4,2013,18
2013-04-19,96.0,5.0,1514.0,4,2013,19
2013-04-20,97.0,6.0,137.0,4,2013,20
2013-04-21,98.0,7.0,36.0,4,2013,21
2013-04-22,99.0,1.0,2104.0,4,2013,22
2013-04-23,100.0,2.0,1584.0,4,2013,23
2013-04-24,101.0,3.0,1449.0,4,2013,24
2013-04-25,102.0,4.0,1102.0,4,2013,25
2013-04-26,103.0,5.0,1774.0,4,2013,26
2013-04-27,104.0,6.0,1462.0,4,2013,27
2013-04-28,105.0,7.0,1626.0,4,2013,28
2013-04-29,106.0,1.0,73.0,4,2013,29
2013-04-30,107.0,4.0,2484.0,4,2013,30
2013-05-01,108.0,5.0,1723.0,5,2013,1
2013-05-02,109.0,6.0,104.0,5,2013,2
2013-05-04,110.0,1.0,2427.0,5,2013,4
2013-05-05,111.0,2.0,2587.0,5,2013,5
2013-05-06,112.0,3.0,2220.0,5,2013,6
