0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,cnt,date,day_of_week
1.0,1.0,3.0,1.0,2013.0,2.0,1.0,3.0,1.0,2013.0,2.0,9.0,3.0,6039.0,6.0,1.0,2013.0,2.0,4052169.0,4026.0,4.0,68.0,1.0,3.0
1.0,2.0,4.0,1.0,2013.0,3.0,4.0,8.0,2.0,4026.0,6.0,16.0,4.0,8052.0,12.0,1.0,2013.0,3.0,4052169.0,6039.0,9.0,36.0,2.0,4.0
1.0,3.0,5.0,1.0,2013.0,4.0,9.0,15.0,3.0,6039.0,12.0,25.0,5.0,10065.0,20.0,1.0,2013.0,4.0,4052169.0,8052.0,16.0,5565.0,3.0,5.0
1.0,4.0,6.0,1.0,2013.0,5.0,16.0,24.0,4.0,8052.0,20.0,36.0,6.0,12078.0,30.0,1.0,2013.0,5.0,4052169.0,10065.0,25.0,4966.0,4.0,6.0
1.0,5.0,7.0,1.0,2013.0,6.0,25.0,35.0,5.0,10065.0,30.0,49.0,7.0,14091.0,42.0,1.0,2013.0,6.0,4052169.0,12078.0,36.0,3346.0,5.0,7.0
1.0,6.0,1.0,1.0,2013.0,7.0,36.0,6.0,6.0,12078.0,42.0,1.0,1.0,2013.0,7.0,1.0,2013.0,7.0,4052169.0,14091.0,49.0,3396.0,6.0,1.0
1.0,7.0,2.0,1.0,2013.0,8.0,49.0,14.0,7.0,14091.0,56.0,4.0,2.0,4026.0,16.0,1.0,2013.0,8.0,4052169.0,16104.0,64.0,4146.0,7.0,2.0
1.0,8.0,3.0,1.0,2013.0,9.0,64.0,24.0,8.0,16104.0,72.0,9.0,3.0,6039.0,27.0,1.0,2013.0,9.0,4052169.0,18117.0,81.0,3096.0,8.0,3.0
1.0,9.0,4.0,1.0,2013.0,10.0,81.0,36.0,9.0,18117.0,90.0,16.0,4.0,8052.0,40.0,1.0,2013.0,10.0,4052169.0,20130.0,100.0,2713.0,9.0,4.0
1.0,10.0,5.0,1.0,2013.0,11.0,100.0,50.0,10.0,20130.0,110.0,25.0,5.0,10065.0,55.0,1.0,2013.0,11.0,4052169.0,22143.0,121.0,2409.0,10.0,5.0
1.0,11.0,6.0,1.0,2013.0,12.0,121.0,66.0,11.0,22143.0,132.0,36.0,6.0,12078.0,72.0,1.0,2013.0,12.0,4052169.0,24156.0,144.0,275.0,11.0,6.0
1.0,12.0,1.0,1.0,2013.0,14.0,144.0,12.0,12.0,24156.0,168.0,1.0,1.0,2013.0,14.0,1.0,2013.0,14.0,4052169.0,28182.0,196.0,2735.0,12.0,1.0
