r_date,date,brand,day_of_week
2016-04-16,1107.0,1,
2016-04-16,1107.0,2,
2016-04-16,1107.0,3,
2016-04-16,1107.0,4,
2016-04-16,1107.0,5,
2016-04-16,1107.0,6,
2016-04-16,1107.0,7,4.0
2016-04-16,1107.0,8,4.0
2016-04-16,1107.0,9,4.0
2016-04-16,1107.0,10,4.0
2016-04-17,1108.0,1,5.0
2016-04-17,1108.0,2,5.0
2016-04-17,1108.0,3,5.0
2016-04-17,1108.0,4,5.0
2016-04-17,1108.0,5,5.0
2016-04-17,1108.0,6,5.0
2016-04-17,1108.0,7,5.0
2016-04-17,1108.0,8,5.0
2016-04-17,1108.0,9,5.0
2016-04-17,1108.0,10,5.0
2016-04-18,1109.0,1,6.0
2016-04-18,1109.0,2,6.0
2016-04-18,1109.0,3,6.0
2016-04-18,1109.0,4,6.0
2016-04-18,1109.0,5,6.0
2016-04-18,1109.0,6,6.0
2016-04-18,1109.0,7,6.0
2016-04-18,1109.0,8,6.0
2016-04-18,1109.0,9,6.0
2016-04-18,1109.0,10,6.0
2016-04-19,1110.0,1,
2016-04-19,1110.0,2,
2016-04-19,1110.0,3,
2016-04-19,1110.0,4,
2016-04-19,1110.0,5,
2016-04-19,1110.0,6,
2016-04-19,1110.0,7,
2016-04-19,1110.0,8,
2016-04-19,1110.0,9,7.0
2016-04-19,1110.0,10,
2016-04-20,1111.0,1,1.0
2016-04-20,1111.0,2,1.0
2016-04-20,1111.0,3,1.0
2016-04-20,1111.0,4,1.0
2016-04-20,1111.0,5,1.0
2016-04-20,1111.0,6,1.0
2016-04-20,1111.0,7,1.0
2016-04-20,1111.0,8,1.0
2016-04-20,1111.0,9,1.0
2016-04-20,1111.0,10,1.0
2016-04-21,1112.0,1,2.0
2016-04-21,1112.0,2,2.0
2016-04-21,1112.0,3,2.0
2016-04-21,1112.0,4,2.0
2016-04-21,1112.0,5,2.0
2016-04-21,1112.0,6,2.0
2016-04-21,1112.0,7,2.0
2016-04-21,1112.0,8,2.0
2016-04-21,1112.0,9,2.0
2016-04-21,1112.0,10,2.0
2016-04-22,1113.0,1,3.0
2016-04-22,1113.0,2,3.0
2016-04-22,1113.0,3,3.0
2016-04-22,1113.0,4,3.0
2016-04-22,1113.0,5,3.0
2016-04-22,1113.0,6,3.0
2016-04-22,1113.0,7,3.0
2016-04-22,1113.0,8,3.0
2016-04-22,1113.0,9,3.0
2016-04-22,1113.0,10,3.0
2016-04-23,1114.0,1,4.0
2016-04-23,1114.0,2,4.0
2016-04-23,1114.0,3,4.0
2016-04-23,1114.0,4,4.0
2016-04-23,1114.0,5,4.0
2016-04-23,1114.0,6,4.0
2016-04-23,1114.0,7,4.0
2016-04-23,1114.0,8,4.0
2016-04-23,1114.0,9,4.0
2016-04-23,1114.0,10,4.0
2016-04-24,1115.0,1,5.0
2016-04-24,1115.0,2,5.0
2016-04-24,1115.0,3,5.0
2016-04-24,1115.0,4,5.0
2016-04-24,1115.0,5,5.0
2016-04-24,1115.0,6,5.0
2016-04-24,1115.0,7,5.0
2016-04-24,1115.0,8,5.0
2016-04-24,1115.0,9,5.0
2016-04-24,1115.0,10,5.0
2016-04-25,1116.0,1,6.0
2016-04-25,1116.0,2,6.0
2016-04-25,1116.0,3,6.0
2016-04-25,1116.0,4,6.0
2016-04-25,1116.0,5,6.0
2016-04-25,1116.0,6,6.0
2016-04-25,1116.0,7,6.0
2016-04-25,1116.0,8,6.0
2016-04-25,1116.0,9,6.0
2016-04-25,1116.0,10,6.0
2016-04-26,,1,
2016-04-26,,2,
2016-04-26,,3,
2016-04-26,,4,
2016-04-26,,5,
2016-04-26,,6,
2016-04-26,,7,
2016-04-26,,8,
2016-04-26,,9,
2016-04-26,,10,
2016-04-27,1117.0,1,1.0
2016-04-27,1117.0,2,1.0
2016-04-27,1117.0,3,1.0
2016-04-27,1117.0,4,1.0
2016-04-27,1117.0,5,1.0
2016-04-27,1117.0,6,1.0
2016-04-27,1117.0,7,1.0
2016-04-27,1117.0,8,1.0
2016-04-27,1117.0,9,1.0
2016-04-27,1117.0,10,1.0
2016-04-28,1118.0,1,2.0
2016-04-28,1118.0,2,2.0
2016-04-28,1118.0,3,2.0
2016-04-28,1118.0,4,2.0
2016-04-28,1118.0,5,2.0
2016-04-28,1118.0,6,2.0
2016-04-28,1118.0,7,2.0
2016-04-28,1118.0,8,2.0
2016-04-28,1118.0,9,2.0
2016-04-28,1118.0,10,2.0
2016-04-29,1119.0,1,3.0
2016-04-29,1119.0,2,3.0
2016-04-29,1119.0,3,3.0
2016-04-29,1119.0,4,3.0
2016-04-29,1119.0,5,3.0
2016-04-29,1119.0,6,3.0
2016-04-29,1119.0,7,3.0
2016-04-29,1119.0,8,3.0
2016-04-29,1119.0,9,3.0
2016-04-29,1119.0,10,3.0
2016-04-30,1120.0,1,4.0
2016-04-30,1120.0,2,4.0
2016-04-30,1120.0,3,4.0
2016-04-30,1120.0,4,4.0
2016-04-30,1120.0,5,4.0
2016-04-30,1120.0,6,4.0
2016-04-30,1120.0,7,4.0
2016-04-30,1120.0,8,4.0
2016-04-30,1120.0,9,4.0
2016-04-30,1120.0,10,4.0
2016-05-01,1121.0,1,5.0
2016-05-01,1121.0,2,5.0
2016-05-01,1121.0,3,5.0
2016-05-01,1121.0,4,5.0
2016-05-01,1121.0,5,5.0
2016-05-01,1121.0,6,5.0
2016-05-01,1121.0,7,5.0
2016-05-01,1121.0,8,5.0
2016-05-01,1121.0,9,5.0
2016-05-01,1121.0,10,5.0
2016-05-02,1122.0,1,6.0
2016-05-02,1122.0,2,6.0
2016-05-02,1122.0,3,6.0
2016-05-02,1122.0,4,6.0
2016-05-02,1122.0,5,6.0
2016-05-02,1122.0,6,6.0
2016-05-02,1122.0,7,6.0
2016-05-02,1122.0,8,6.0
2016-05-02,1122.0,9,6.0
2016-05-02,1122.0,10,6.0
2016-05-03,,1,
2016-05-03,,2,
2016-05-03,,3,
2016-05-03,,4,
2016-05-03,,5,
2016-05-03,,6,
2016-05-03,,7,
2016-05-03,,8,
2016-05-03,,9,
2016-05-03,,10,
2016-05-04,1123.0,1,1.0
2016-05-04,1123.0,2,1.0
2016-05-04,1123.0,3,1.0
2016-05-04,1123.0,4,1.0
2016-05-04,1123.0,5,1.0
2016-05-04,1123.0,6,1.0
2016-05-04,1123.0,7,1.0
2016-05-04,1123.0,8,1.0
2016-05-04,1123.0,9,1.0
2016-05-04,1123.0,10,1.0
2016-05-05,1124.0,1,2.0
2016-05-05,1124.0,2,2.0
2016-05-05,1124.0,3,2.0
2016-05-05,1124.0,4,2.0
2016-05-05,1124.0,5,2.0
2016-05-05,1124.0,6,2.0
2016-05-05,1124.0,7,2.0
2016-05-05,1124.0,8,2.0
2016-05-05,1124.0,9,2.0
2016-05-05,1124.0,10,2.0
2016-05-06,1125.0,1,3.0
2016-05-06,1125.0,2,3.0
2016-05-06,1125.0,3,3.0
2016-05-06,1125.0,4,3.0
2016-05-06,1125.0,5,3.0
2016-05-06,1125.0,6,3.0
2016-05-06,1125.0,7,3.0
2016-05-06,1125.0,8,3.0
2016-05-06,1125.0,9,3.0
2016-05-06,1125.0,10,3.0
2016-05-07,1126.0,1,4.0
2016-05-07,1126.0,2,4.0
2016-05-07,1126.0,3,4.0
2016-05-07,1126.0,4,4.0
2016-05-07,1126.0,5,4.0
2016-05-07,1126.0,6,4.0
2016-05-07,1126.0,7,4.0
2016-05-07,1126.0,8,4.0
2016-05-07,1126.0,9,4.0
2016-05-07,1126.0,10,4.0
2016-05-08,1127.0,1,5.0
2016-05-08,1127.0,2,5.0
2016-05-08,1127.0,3,5.0
2016-05-08,1127.0,4,5.0
2016-05-08,1127.0,5,5.0
2016-05-08,1127.0,6,5.0
2016-05-08,1127.0,7,5.0
2016-05-08,1127.0,8,5.0
2016-05-08,1127.0,9,5.0
2016-05-08,1127.0,10,5.0
2016-05-09,1128.0,1,6.0
2016-05-09,1128.0,2,6.0
2016-05-09,1128.0,3,6.0
2016-05-09,1128.0,4,6.0
2016-05-09,1128.0,5,6.0
2016-05-09,1128.0,6,6.0
2016-05-09,1128.0,7,6.0
2016-05-09,1128.0,8,6.0
2016-05-09,1128.0,9,6.0
2016-05-09,1128.0,10,
2016-05-10,,1,
2016-05-10,,2,
2016-05-10,,3,
2016-05-10,,4,
2016-05-10,,5,
2016-05-10,,6,
2016-05-10,,7,
2016-05-10,,8,
2016-05-10,,9,
2016-05-10,,10,
2016-05-11,1129.0,1,1.0
2016-05-11,1129.0,2,1.0
2016-05-11,1129.0,3,1.0
