r_date,date,brand,day_of_week,month,year,day,cnt
2016-04-16,1107.0,7,4.0,4,2016,16,232
2016-04-16,1107.0,8,4.0,4,2016,16,583
2016-04-16,1107.0,9,4.0,4,2016,16,466
2016-04-16,1107.0,10,4.0,4,2016,16,288
2016-04-17,1108.0,1,5.0,4,2016,17,490
2016-04-17,1108.0,2,5.0,4,2016,17,318
2016-04-17,1108.0,3,5.0,4,2016,17,285
2016-04-17,1108.0,4,5.0,4,2016,17,380
2016-04-17,1108.0,5,5.0,4,2016,17,470
2016-04-17,1108.0,6,5.0,4,2016,17,378
2016-04-17,1108.0,7,5.0,4,2016,17,421
2016-04-17,1108.0,8,5.0,4,2016,17,581
2016-04-17,1108.0,9,5.0,4,2016,17,804
2016-04-17,1108.0,10,5.0,4,2016,17,337
2016-04-18,1109.0,1,6.0,4,2016,18,170
2016-04-18,1109.0,2,6.0,4,2016,18,289
2016-04-18,1109.0,3,6.0,4,2016,18,249
2016-04-18,1109.0,4,6.0,4,2016,18,119
2016-04-18,1109.0,5,6.0,4,2016,18,147
2016-04-18,1109.0,6,6.0,4,2016,18,84
2016-04-18,1109.0,7,6.0,4,2016,18,105
2016-04-18,1109.0,8,6.0,4,2016,18,173
2016-04-18,1109.0,9,6.0,4,2016,18,184
2016-04-18,1109.0,10,6.0,4,2016,18,56
2016-04-19,1110.0,9,7.0,4,2016,19,15
2016-04-20,1111.0,1,1.0,4,2016,20,626
2016-04-20,1111.0,2,1.0,4,2016,20,232
2016-04-20,1111.0,3,1.0,4,2016,20,228
2016-04-20,1111.0,4,1.0,4,2016,20,494
2016-04-20,1111.0,5,1.0,4,2016,20,382
2016-04-20,1111.0,6,1.0,4,2016,20,441
2016-04-20,1111.0,7,1.0,4,2016,20,421
2016-04-20,1111.0,8,1.0,4,2016,20,746
2016-04-20,1111.0,9,1.0,4,2016,20,710
2016-04-20,1111.0,10,1.0,4,2016,20,337
2016-04-21,1112.0,1,2.0,4,2016,21,374
2016-04-21,1112.0,2,2.0,4,2016,21,507
2016-04-21,1112.0,3,2.0,4,2016,21,285
2016-04-21,1112.0,4,2.0,4,2016,21,618
2016-04-21,1112.0,5,2.0,4,2016,21,330
2016-04-21,1112.0,6,2.0,4,2016,21,343
2016-04-21,1112.0,7,2.0,4,2016,21,211
2016-04-21,1112.0,8,2.0,4,2016,21,518
2016-04-21,1112.0,9,2.0,4,2016,21,586
2016-04-21,1112.0,10,2.0,4,2016,21,421
2016-04-22,1113.0,1,3.0,4,2016,22,286
2016-04-22,1113.0,2,3.0,4,2016,22,203
2016-04-22,1113.0,3,3.0,4,2016,22,499
2016-04-22,1113.0,4,3.0,4,2016,22,466
2016-04-22,1113.0,5,3.0,4,2016,22,377
2016-04-22,1113.0,6,3.0,4,2016,22,242
2016-04-22,1113.0,7,3.0,4,2016,22,426
2016-04-22,1113.0,8,3.0,4,2016,22,419
2016-04-22,1113.0,9,3.0,4,2016,22,672
2016-04-22,1113.0,10,3.0,4,2016,22,341
2016-04-23,1114.0,1,4.0,4,2016,23,449
2016-04-23,1114.0,2,4.0,4,2016,23,478
2016-04-23,1114.0,3,4.0,4,2016,23,235
2016-04-23,1114.0,4,4.0,4,2016,23,296
2016-04-23,1114.0,5,4.0,4,2016,23,242
2016-04-23,1114.0,6,4.0,4,2016,23,280
2016-04-23,1114.0,7,4.0,4,2016,23,438
2016-04-23,1114.0,8,4.0,4,2016,23,355
2016-04-23,1114.0,9,4.0,4,2016,23,614
2016-04-23,1114.0,10,4.0,4,2016,23,391
2016-04-24,1115.0,1,5.0,4,2016,24,327
2016-04-24,1115.0,2,5.0,4,2016,24,145
2016-04-24,1115.0,3,5.0,4,2016,24,285
2016-04-24,1115.0,4,5.0,4,2016,24,266
2016-04-24,1115.0,5,5.0,4,2016,24,206
2016-04-24,1115.0,6,5.0,4,2016,24,228
2016-04-24,1115.0,7,5.0,4,2016,24,168
2016-04-24,1115.0,8,5.0,4,2016,24,304
2016-04-24,1115.0,9,5.0,4,2016,24,549
2016-04-24,1115.0,10,5.0,4,2016,24,202
2016-04-25,1116.0,1,6.0,4,2016,25,102
2016-04-25,1116.0,2,6.0,4,2016,25,72
2016-04-25,1116.0,3,6.0,4,2016,25,143
2016-04-25,1116.0,4,6.0,4,2016,25,95
2016-04-25,1116.0,5,6.0,4,2016,25,257
2016-04-25,1116.0,6,6.0,4,2016,25,58
2016-04-25,1116.0,7,6.0,4,2016,25,70
2016-04-25,1116.0,8,6.0,4,2016,25,35
2016-04-25,1116.0,9,6.0,4,2016,25,184
2016-04-25,1116.0,10,6.0,4,2016,25,56
2016-04-27,1117.0,1,1.0,4,2016,27,245
2016-04-27,1117.0,2,1.0,4,2016,27,289
2016-04-27,1117.0,3,1.0,4,2016,27,314
2016-04-27,1117.0,4,1.0,4,2016,27,437
2016-04-27,1117.0,5,1.0,4,2016,27,529
2016-04-27,1117.0,6,1.0,4,2016,27,347
2016-04-27,1117.0,7,1.0,4,2016,27,337
2016-04-27,1117.0,8,1.0,4,2016,27,553
2016-04-27,1117.0,9,1.0,4,2016,27,603
2016-04-27,1117.0,10,1.0,4,2016,27,337
2016-04-28,1118.0,1,2.0,4,2016,28,442
2016-04-28,1118.0,2,2.0,4,2016,28,181
2016-04-28,1118.0,3,2.0,4,2016,28,285
2016-04-28,1118.0,4,2.0,4,2016,28,475
2016-04-28,1118.0,5,2.0,4,2016,28,514
2016-04-28,1118.0,6,2.0,4,2016,28,259
2016-04-28,1118.0,7,2.0,4,2016,28,246
2016-04-28,1118.0,8,2.0,4,2016,28,242
2016-04-28,1118.0,9,2.0,4,2016,28,753
2016-04-28,1118.0,10,2.0,4,2016,28,140
2016-04-29,1119.0,1,3.0,4,2016,29,381
2016-04-29,1119.0,2,3.0,4,2016,29,439
2016-04-29,1119.0,3,3.0,4,2016,29,200
2016-04-29,1119.0,4,3.0,4,2016,29,621
2016-04-29,1119.0,5,3.0,4,2016,29,343
2016-04-29,1119.0,6,3.0,4,2016,29,254
2016-04-29,1119.0,7,3.0,4,2016,29,328
2016-04-29,1119.0,8,3.0,4,2016,29,387
2016-04-29,1119.0,9,3.0,4,2016,29,656
2016-04-29,1119.0,10,3.0,4,2016,29,367
2016-04-30,1120.0,1,4.0,4,2016,30,374
2016-04-30,1120.0,2,4.0,4,2016,30,186
2016-04-30,1120.0,3,4.0,4,2016,30,261
2016-04-30,1120.0,4,4.0,4,2016,30,244
2016-04-30,1120.0,5,4.0,4,2016,30,242
2016-04-30,1120.0,6,4.0,4,2016,30,166
2016-04-30,1120.0,7,4.0,4,2016,30,206
2016-04-30,1120.0,8,4.0,4,2016,30,253
2016-04-30,1120.0,9,4.0,4,2016,30,319
2016-04-30,1120.0,10,4.0,4,2016,30,144
2016-05-01,1121.0,1,5.0,5,2016,1,272
2016-05-01,1121.0,2,5.0,5,2016,1,87
2016-05-01,1121.0,3,5.0,5,2016,1,143
