0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,cnt,date,day_of_week,brand
1.0,1107.0,7.0,4.0,4.0,2016.0,16.0,1225449.0,7749.0,4428.0,4428.0,2231712.0,17712.0,49.0,28.0,28.0,14112.0,112.0,16.0,16.0,8064.0,64.0,16.0,8064.0,64.0,4064256.0,32256.0,256.0,232,1107.0,4.0,7
1.0,1107.0,8.0,4.0,4.0,2016.0,16.0,1225449.0,8856.0,4428.0,4428.0,2231712.0,17712.0,64.0,32.0,32.0,16128.0,128.0,16.0,16.0,8064.0,64.0,16.0,8064.0,64.0,4064256.0,32256.0,256.0,583,1107.0,4.0,8
1.0,1107.0,9.0,4.0,4.0,2016.0,16.0,1225449.0,9963.0,4428.0,4428.0,2231712.0,17712.0,81.0,36.0,36.0,18144.0,144.0,16.0,16.0,8064.0,64.0,16.0,8064.0,64.0,4064256.0,32256.0,256.0,466,1107.0,4.0,9
1.0,1107.0,10.0,4.0,4.0,2016.0,16.0,1225449.0,11070.0,4428.0,4428.0,2231712.0,17712.0,100.0,40.0,40.0,20160.0,160.0,16.0,16.0,8064.0,64.0,16.0,8064.0,64.0,4064256.0,32256.0,256.0,288,1107.0,4.0,10
1.0,1108.0,1.0,5.0,4.0,2016.0,17.0,1227664.0,1108.0,5540.0,4432.0,2233728.0,18836.0,1.0,5.0,4.0,2016.0,17.0,25.0,20.0,10080.0,85.0,16.0,8064.0,68.0,4064256.0,34272.0,289.0,490,1108.0,5.0,1
1.0,1108.0,2.0,5.0,4.0,2016.0,17.0,1227664.0,2216.0,5540.0,4432.0,2233728.0,18836.0,4.0,10.0,8.0,4032.0,34.0,25.0,20.0,10080.0,85.0,16.0,8064.0,68.0,4064256.0,34272.0,289.0,318,1108.0,5.0,2
1.0,1108.0,3.0,5.0,4.0,2016.0,17.0,1227664.0,3324.0,5540.0,4432.0,2233728.0,18836.0,9.0,15.0,12.0,6048.0,51.0,25.0,20.0,10080.0,85.0,16.0,8064.0,68.0,4064256.0,34272.0,289.0,285,1108.0,5.0,3
1.0,1108.0,4.0,5.0,4.0,2016.0,17.0,1227664.0,4432.0,5540.0,4432.0,2233728.0,18836.0,16.0,20.0,16.0,8064.0,68.0,25.0,20.0,10080.0,85.0,16.0,8064.0,68.0,4064256.0,34272.0,289.0,380,1108.0,5.0,4
1.0,1108.0,5.0,5.0,4.0,2016.0,17.0,1227664.0,5540.0,5540.0,4432.0,2233728.0,18836.0,25.0,25.0,20.0,10080.0,85.0,25.0,20.0,10080.0,85.0,16.0,8064.0,68.0,4064256.0,34272.0,289.0,470,1108.0,5.0,5
1.0,1108.0,6.0,5.0,4.0,2016.0,17.0,1227664.0,6648.0,5540.0,4432.0,2233728.0,18836.0,36.0,30.0,24.0,12096.0,102.0,25.0,20.0,10080.0,85.0,16.0,8064.0,68.0,4064256.0,34272.0,289.0,378,1108.0,5.0,6
1.0,1108.0,7.0,5.0,4.0,2016.0,17.0,1227664.0,7756.0,5540.0,4432.0,2233728.0,18836.0,49.0,35.0,28.0,14112.0,119.0,25.0,20.0,10080.0,85.0,16.0,8064.0,68.0,4064256.0,34272.0,289.0,421,1108.0,5.0,7
1.0,1108.0,8.0,5.0,4.0,2016.0,17.0,1227664.0,8864.0,5540.0,4432.0,2233728.0,18836.0,64.0,40.0,32.0,16128.0,136.0,25.0,20.0,10080.0,85.0,16.0,8064.0,68.0,4064256.0,34272.0,289.0,581,1108.0,5.0,8
1.0,1108.0,9.0,5.0,4.0,2016.0,17.0,1227664.0,9972.0,5540.0,4432.0,2233728.0,18836.0,81.0,45.0,36.0,18144.0,153.0,25.0,20.0,10080.0,85.0,16.0,8064.0,68.0,4064256.0,34272.0,289.0,804,1108.0,5.0,9
1.0,1108.0,10.0,5.0,4.0,2016.0,17.0,1227664.0,11080.0,5540.0,4432.0,2233728.0,18836.0,100.0,50.0,40.0,20160.0,170.0,25.0,20.0,10080.0,85.0,16.0,8064.0,68.0,4064256.0,34272.0,289.0,337,1108.0,5.0,10
1.0,1109.0,1.0,6.0,4.0,2016.0,18.0,1229881.0,1109.0,6654.0,4436.0,2235744.0,19962.0,1.0,6.0,4.0,2016.0,18.0,36.0,24.0,12096.0,108.0,16.0,8064.0,72.0,4064256.0,36288.0,324.0,170,1109.0,6.0,1
1.0,1109.0,2.0,6.0,4.0,2016.0,18.0,1229881.0,2218.0,6654.0,4436.0,2235744.0,19962.0,4.0,12.0,8.0,4032.0,36.0,36.0,24.0,12096.0,108.0,16.0,8064.0,72.0,4064256.0,36288.0,324.0,289,1109.0,6.0,2
1.0,1109.0,3.0,6.0,4.0,2016.0,18.0,1229881.0,3327.0,6654.0,4436.0,2235744.0,19962.0,9.0,18.0,12.0,6048.0,54.0,36.0,24.0,12096.0,108.0,16.0,8064.0,72.0,4064256.0,36288.0,324.0,249,1109.0,6.0,3
1.0,1109.0,4.0,6.0,4.0,2016.0,18.0,1229881.0,4436.0,6654.0,4436.0,2235744.0,19962.0,16.0,24.0,16.0,8064.0,72.0,36.0,24.0,12096.0,108.0,16.0,8064.0,72.0,4064256.0,36288.0,324.0,119,1109.0,6.0,4
1.0,1109.0,5.0,6.0,4.0,2016.0,18.0,1229881.0,5545.0,6654.0,4436.0,2235744.0,19962.0,25.0,30.0,20.0,10080.0,90.0,36.0,24.0,12096.0,108.0,16.0,8064.0,72.0,4064256.0,36288.0,324.0,147,1109.0,6.0,5
1.0,1109.0,6.0,6.0,4.0,2016.0,18.0,1229881.0,6654.0,6654.0,4436.0,2235744.0,19962.0,36.0,36.0,24.0,12096.0,108.0,36.0,24.0,12096.0,108.0,16.0,8064.0,72.0,4064256.0,36288.0,324.0,84,1109.0,6.0,6
1.0,1109.0,7.0,6.0,4.0,2016.0,18.0,1229881.0,7763.0,6654.0,4436.0,2235744.0,19962.0,49.0,42.0,28.0,14112.0,126.0,36.0,24.0,12096.0,108.0,16.0,8064.0,72.0,4064256.0,36288.0,324.0,105,1109.0,6.0,7
1.0,1109.0,8.0,6.0,4.0,2016.0,18.0,1229881.0,8872.0,6654.0,4436.0,2235744.0,19962.0,64.0,48.0,32.0,16128.0,144.0,36.0,24.0,12096.0,108.0,16.0,8064.0,72.0,4064256.0,36288.0,324.0,173,1109.0,6.0,8
1.0,1109.0,9.0,6.0,4.0,2016.0,18.0,1229881.0,9981.0,6654.0,4436.0,2235744.0,19962.0,81.0,54.0,36.0,18144.0,162.0,36.0,24.0,12096.0,108.0,16.0,8064.0,72.0,4064256.0,36288.0,324.0,184,1109.0,6.0,9
1.0,1109.0,10.0,6.0,4.0,2016.0,18.0,1229881.0,11090.0,6654.0,4436.0,2235744.0,19962.0,100.0,60.0,40.0,20160.0,180.0,36.0,24.0,12096.0,108.0,16.0,8064.0,72.0,4064256.0,36288.0,324.0,56,1109.0,6.0,10
1.0,1110.0,9.0,7.0,4.0,2016.0,19.0,1232100.0,9990.0,7770.0,4440.0,2237760.0,21090.0,81.0,63.0,36.0,18144.0,171.0,49.0,28.0,14112.0,133.0,16.0,8064.0,76.0,4064256.0,38304.0,361.0,15,1110.0,7.0,9
1.0,1111.0,1.0,1.0,4.0,2016.0,20.0,1234321.0,1111.0,1111.0,4444.0,2239776.0,22220.0,1.0,1.0,4.0,2016.0,20.0,1.0,4.0,2016.0,20.0,16.0,8064.0,80.0,4064256.0,40320.0,400.0,626,1111.0,1.0,1
1.0,1111.0,2.0,1.0,4.0,2016.0,20.0,1234321.0,2222.0,1111.0,4444.0,2239776.0,22220.0,4.0,2.0,8.0,4032.0,40.0,1.0,4.0,2016.0,20.0,16.0,8064.0,80.0,4064256.0,40320.0,400.0,232,1111.0,1.0,2
1.0,1111.0,3.0,1.0,4.0,2016.0,20.0,1234321.0,3333.0,1111.0,4444.0,2239776.0,22220.0,9.0,3.0,12.0,6048.0,60.0,1.0,4.0,2016.0,20.0,16.0,8064.0,80.0,4064256.0,40320.0,400.0,228,1111.0,1.0,3
1.0,1111.0,4.0,1.0,4.0,2016.0,20.0,1234321.0,4444.0,1111.0,4444.0,2239776.0,22220.0,16.0,4.0,16.0,8064.0,80.0,1.0,4.0,2016.0,20.0,16.0,8064.0,80.0,4064256.0,40320.0,400.0,494,1111.0,1.0,4
1.0,1111.0,5.0,1.0,4.0,2016.0,20.0,1234321.0,5555.0,1111.0,4444.0,2239776.0,22220.0,25.0,5.0,20.0,10080.0,100.0,1.0,4.0,2016.0,20.0,16.0,8064.0,80.0,4064256.0,40320.0,400.0,382,1111.0,1.0,5
1.0,1111.0,6.0,1.0,4.0,2016.0,20.0,1234321.0,6666.0,1111.0,4444.0,2239776.0,22220.0,36.0,6.0,24.0,12096.0,120.0,1.0,4.0,2016.0,20.0,16.0,8064.0,80.0,4064256.0,40320.0,400.0,441,1111.0,1.0,6
1.0,1111.0,7.0,1.0,4.0,2016.0,20.0,1234321.0,7777.0,1111.0,4444.0,2239776.0,22220.0,49.0,7.0,28.0,14112.0,140.0,1.0,4.0,2016.0,20.0,16.0,8064.0,80.0,4064256.0,40320.0,400.0,421,1111.0,1.0,7
1.0,1111.0,8.0,1.0,4.0,2016.0,20.0,1234321.0,8888.0,1111.0,4444.0,2239776.0,22220.0,64.0,8.0,32.0,16128.0,160.0,1.0,4.0,2016.0,20.0,16.0,8064.0,80.0,4064256.0,40320.0,400.0,746,1111.0,1.0,8
1.0,1111.0,9.0,1.0,4.0,2016.0,20.0,1234321.0,9999.0,1111.0,4444.0,2239776.0,22220.0,81.0,9.0,36.0,18144.0,180.0,1.0,4.0,2016.0,20.0,16.0,8064.0,80.0,4064256.0,40320.0,400.0,710,1111.0,1.0,9
1.0,1111.0,10.0,1.0,4.0,2016.0,20.0,1234321.0,11110.0,1111.0,4444.0,2239776.0,22220.0,100.0,10.0,40.0,20160.0,200.0,1.0,4.0,2016.0,20.0,16.0,8064.0,80.0,4064256.0,40320.0,400.0,337,1111.0,1.0,10
1.0,1112.0,1.0,2.0,4.0,2016.0,21.0,1236544.0,1112.0,2224.0,4448.0,2241792.0,23352.0,1.0,2.0,4.0,2016.0,21.0,4.0,8.0,4032.0,42.0,16.0,8064.0,84.0,4064256.0,42336.0,441.0,374,1112.0,2.0,1
1.0,1112.0,2.0,2.0,4.0,2016.0,21.0,1236544.0,2224.0,2224.0,4448.0,2241792.0,23352.0,4.0,4.0,8.0,4032.0,42.0,4.0,8.0,4032.0,42.0,16.0,8064.0,84.0,4064256.0,42336.0,441.0,507,1112.0,2.0,2
1.0,1112.0,3.0,2.0,4.0,2016.0,21.0,1236544.0,3336.0,2224.0,4448.0,2241792.0,23352.0,9.0,6.0,12.0,6048.0,63.0,4.0,8.0,4032.0,42.0,16.0,8064.0,84.0,4064256.0,42336.0,441.0,285,1112.0,2.0,3
1.0,1112.0,4.0,2.0,4.0,2016.0,21.0,1236544.0,4448.0,2224.0,4448.0,2241792.0,23352.0,16.0,8.0,16.0,8064.0,84.0,4.0,8.0,4032.0,42.0,16.0,8064.0,84.0,4064256.0,42336.0,441.0,618,1112.0,2.0,4
1.0,1112.0,5.0,2.0,4.0,2016.0,21.0,1236544.0,5560.0,2224.0,4448.0,2241792.0,23352.0,25.0,10.0,20.0,10080.0,105.0,4.0,8.0,4032.0,42.0,16.0,8064.0,84.0,4064256.0,42336.0,441.0,330,1112.0,2.0,5
1.0,1112.0,6.0,2.0,4.0,2016.0,21.0,1236544.0,6672.0,2224.0,4448.0,2241792.0,23352.0,36.0,12.0,24.0,12096.0,126.0,4.0,8.0,4032.0,42.0,16.0,8064.0,84.0,4064256.0,42336.0,441.0,343,1112.0,2.0,6
1.0,1112.0,7.0,2.0,4.0,2016.0,21.0,1236544.0,7784.0,2224.0,4448.0,2241792.0,23352.0,49.0,14.0,28.0,14112.0,147.0,4.0,8.0,4032.0,42.0,16.0,8064.0,84.0,4064256.0,42336.0,441.0,211,1112.0,2.0,7
1.0,1112.0,8.0,2.0,4.0,2016.0,21.0,1236544.0,8896.0,2224.0,4448.0,2241792.0,23352.0,64.0,16.0,32.0,16128.0,168.0,4.0,8.0,4032.0,42.0,16.0,8064.0,84.0,4064256.0,42336.0,441.0,518,1112.0,2.0,8
1.0,1112.0,9.0,2.0,4.0,2016.0,21.0,1236544.0,10008.0,2224.0,4448.0,2241792.0,23352.0,81.0,18.0,36.0,18144.0,189.0,4.0,8.0,4032.0,42.0,16.0,8064.0,84.0,4064256.0,42336.0,441.0,586,1112.0,2.0,9
1.0,1112.0,10.0,2.0,4.0,2016.0,21.0,1236544.0,11120.0,2224.0,4448.0,2241792.0,23352.0,100.0,20.0,40.0,20160.0,210.0,4.0,8.0,4032.0,42.0,16.0,8064.0,84.0,4064256.0,42336.0,441.0,421,1112.0,2.0,10
