r_date,date,brand,day_of_week
2016-09-23,1250.0,1,3.0
2016-09-23,1250.0,2,3.0
2016-09-23,1250.0,3,3.0
2016-09-23,1250.0,4,3.0
2016-09-23,1250.0,5,3.0
2016-09-23,1250.0,6,3.0
2016-09-23,1250.0,7,3.0
2016-09-23,1250.0,8,3.0
2016-09-23,1250.0,9,3.0
2016-09-23,1250.0,10,3.0
2016-09-24,1251.0,1,4.0
2016-09-24,1251.0,2,4.0
2016-09-24,1251.0,3,4.0
2016-09-24,1251.0,4,4.0
2016-09-24,1251.0,5,4.0
2016-09-24,1251.0,6,4.0
2016-09-24,1251.0,7,4.0
2016-09-24,1251.0,8,4.0
2016-09-24,1251.0,9,4.0
2016-09-24,1251.0,10,4.0
2016-09-25,1252.0,1,5.0
2016-09-25,1252.0,2,5.0
2016-09-25,1252.0,3,5.0
2016-09-25,1252.0,4,5.0
2016-09-25,1252.0,5,5.0
2016-09-25,1252.0,6,5.0
2016-09-25,1252.0,7,5.0
2016-09-25,1252.0,8,5.0
2016-09-25,1252.0,9,5.0
2016-09-25,1252.0,10,5.0
2016-09-26,1253.0,1,6.0
2016-09-26,1253.0,2,6.0
2016-09-26,1253.0,3,6.0
2016-09-26,1253.0,4,6.0
2016-09-26,1253.0,5,6.0
2016-09-26,1253.0,6,6.0
2016-09-26,1253.0,7,6.0
2016-09-26,1253.0,8,6.0
2016-09-26,1253.0,9,6.0
2016-09-26,1253.0,10,6.0
2016-09-27,1254.0,4,7.0
2016-09-28,1255.0,1,1.0
2016-09-28,1255.0,2,1.0
2016-09-28,1255.0,3,1.0
2016-09-28,1255.0,4,1.0
2016-09-28,1255.0,5,1.0
2016-09-28,1255.0,6,1.0
2016-09-28,1255.0,7,1.0
2016-09-28,1255.0,8,1.0
2016-09-28,1255.0,9,1.0
2016-09-28,1255.0,10,1.0
2016-09-29,1256.0,1,2.0
2016-09-29,1256.0,2,2.0
2016-09-29,1256.0,3,2.0
2016-09-29,1256.0,4,2.0
2016-09-29,1256.0,5,2.0
2016-09-29,1256.0,6,2.0
2016-09-29,1256.0,7,2.0
2016-09-29,1256.0,8,2.0
2016-09-29,1256.0,9,2.0
2016-09-29,1256.0,10,2.0
2016-09-30,1257.0,1,3.0
2016-09-30,1257.0,2,3.0
2016-09-30,1257.0,3,3.0
2016-09-30,1257.0,4,3.0
2016-09-30,1257.0,5,3.0
2016-09-30,1257.0,6,3.0
2016-09-30,1257.0,7,3.0
2016-09-30,1257.0,8,3.0
2016-09-30,1257.0,9,3.0
2016-09-30,1257.0,10,3.0
2016-10-01,1258.0,1,4.0
2016-10-01,1258.0,2,4.0
2016-10-01,1258.0,3,4.0
2016-10-01,1258.0,4,4.0
2016-10-01,1258.0,5,4.0
2016-10-01,1258.0,6,4.0
2016-10-01,1258.0,7,4.0
2016-10-01,1258.0,8,4.0
2016-10-01,1258.0,9,4.0
2016-10-01,1258.0,10,4.0
2016-10-02,1259.0,1,5.0
2016-10-02,1259.0,2,5.0
2016-10-02,1259.0,3,5.0
2016-10-02,1259.0,4,5.0
2016-10-02,1259.0,5,5.0
2016-10-02,1259.0,6,5.0
2016-10-02,1259.0,7,5.0
2016-10-02,1259.0,8,5.0
2016-10-02,1259.0,9,5.0
2016-10-02,1259.0,10,5.0
2016-10-03,1260.0,1,6.0
2016-10-03,1260.0,2,6.0
2016-10-03,1260.0,3,6.0
2016-10-03,1260.0,4,6.0
2016-10-03,1260.0,5,6.0
2016-10-03,1260.0,6,6.0
2016-10-03,1260.0,7,6.0
2016-10-03,1260.0,8,6.0
2016-10-03,1260.0,9,6.0
2016-10-03,1260.0,10,6.0
2016-10-05,1261.0,1,1.0
2016-10-05,1261.0,2,1.0
2016-10-05,1261.0,3,1.0
2016-10-05,1261.0,4,1.0
2016-10-05,1261.0,5,1.0
2016-10-05,1261.0,6,1.0
2016-10-05,1261.0,7,1.0
2016-10-05,1261.0,8,1.0
2016-10-05,1261.0,9,1.0
2016-10-05,1261.0,10,1.0
