r_date,date,brand,day_of_week,cnt
2013-01-01,1.0,1,2.0,31.0
2013-01-01,1.0,2,,
2013-01-01,1.0,3,,
2013-01-01,1.0,4,,
2013-01-01,1.0,5,,
2013-01-01,1.0,6,2.0,6.0
2013-01-01,1.0,7,,
2013-01-01,1.0,8,,
2013-01-01,1.0,9,2.0,15.0
2013-01-01,1.0,10,,
2013-01-02,2.0,1,,
2013-01-02,2.0,2,,
2013-01-02,2.0,3,,
2013-01-02,2.0,4,3.0,20.0
2013-01-02,2.0,5,,
2013-01-02,2.0,6,3.0,6.0
2013-01-02,2.0,7,3.0,30.0
2013-01-02,2.0,8,,
2013-01-02,2.0,9,,
2013-01-02,2.0,10,3.0,48.0
2013-01-03,3.0,1,,
2013-01-03,3.0,2,,
2013-01-03,3.0,3,,
2013-01-03,3.0,4,4.0,16.0
2013-01-03,3.0,5,,
2013-01-03,3.0,6,4.0,4.0
2013-01-03,3.0,7,,
2013-01-03,3.0,8,4.0,23.0
2013-01-03,3.0,9,,
2013-01-03,3.0,10,,
2013-01-04,4.0,1,5.0,898.0
2013-01-04,4.0,2,5.0,796.0
2013-01-04,4.0,3,5.0,418.0
2013-01-04,4.0,4,5.0,1411.0
2013-01-04,4.0,5,,
2013-01-04,4.0,6,5.0,299.0
2013-01-04,4.0,7,5.0,257.0
2013-01-04,4.0,8,5.0,76.0
2013-01-04,4.0,9,5.0,1314.0
2013-01-04,4.0,10,5.0,1565.0
2013-01-05,5.0,1,6.0,842.0
2013-01-05,5.0,2,6.0,763.0
2013-01-05,5.0,3,6.0,229.0
2013-01-05,5.0,4,6.0,1176.0
2013-01-05,5.0,5,,
2013-01-05,5.0,6,6.0,244.0
2013-01-05,5.0,7,6.0,354.0
2013-01-05,5.0,8,6.0,63.0
2013-01-05,5.0,9,6.0,829.0
2013-01-05,5.0,10,6.0,1107.0
2013-01-06,6.0,1,7.0,649.0
2013-01-06,6.0,2,7.0,259.0
2013-01-06,6.0,3,7.0,198.0
2013-01-06,6.0,4,7.0,812.0
