r_date,date,day_of_week,brand,cnt
2013-01-01,1.0,2.0,1,31.0
2013-01-01,1.0,2.0,6,6.0
2013-01-01,1.0,2.0,9,15.0
2013-01-02,2.0,3.0,4,20.0
2013-01-02,2.0,3.0,6,6.0
2013-01-02,2.0,3.0,7,30.0
2013-01-02,2.0,3.0,10,48.0
2013-01-03,3.0,4.0,4,16.0
2013-01-03,3.0,4.0,6,4.0
2013-01-03,3.0,4.0,8,23.0
2013-01-04,4.0,5.0,1,898.0
2013-01-04,4.0,5.0,2,796.0
2013-01-04,4.0,5.0,3,418.0
2013-01-04,4.0,5.0,4,1411.0
2013-01-04,4.0,5.0,6,299.0
2013-01-04,4.0,5.0,7,257.0
2013-01-04,4.0,5.0,8,76.0
2013-01-04,4.0,5.0,9,1314.0
2013-01-04,4.0,5.0,10,1565.0
2013-01-05,5.0,6.0,1,842.0
2013-01-05,5.0,6.0,2,763.0
2013-01-05,5.0,6.0,3,229.0
2013-01-05,5.0,6.0,4,1176.0
2013-01-05,5.0,6.0,6,244.0
2013-01-05,5.0,6.0,7,354.0
2013-01-05,5.0,6.0,8,63.0
2013-01-05,5.0,6.0,9,829.0
2013-01-05,5.0,6.0,10,1107.0
2013-01-06,6.0,7.0,1,649.0
2013-01-06,6.0,7.0,2,259.0
2013-01-06,6.0,7.0,3,198.0
2013-01-06,6.0,7.0,4,812.0
2013-01-06,6.0,7.0,6,134.0
2013-01-06,6.0,7.0,7,167.0
2013-01-06,6.0,7.0,8,55.0
2013-01-06,6.0,7.0,9,412.0
2013-01-06,6.0,7.0,10,647.0
2013-01-07,7.0,1.0,1,574.0
2013-01-07,7.0,1.0,2,371.0
2013-01-07,7.0,1.0,3,340.0
2013-01-07,7.0,1.0,4,889.0
2013-01-07,7.0,1.0,6,157.0
2013-01-07,7.0,1.0,7,232.0
2013-01-07,7.0,1.0,8,127.0
2013-01-07,7.0,1.0,9,381.0
2013-01-07,7.0,1.0,10,638.0
2013-01-08,8.0,2.0,1,842.0
2013-01-08,8.0,2.0,2,597.0
2013-01-08,8.0,2.0,3,294.0
2013-01-08,8.0,2.0,4,893.0
2013-01-08,8.0,2.0,6,202.0
2013-01-08,8.0,2.0,7,386.0
2013-01-08,8.0,2.0,8,190.0
2013-01-08,8.0,2.0,9,399.0
2013-01-08,8.0,2.0,10,695.0
2013-01-09,9.0,3.0,1,640.0
2013-01-09,9.0,3.0,2,557.0
2013-01-09,9.0,3.0,3,488.0
2013-01-09,9.0,3.0,4,569.0
2013-01-09,9.0,3.0,6,161.0
2013-01-09,9.0,3.0,7,270.0
2013-01-09,9.0,3.0,8,59.0
2013-01-09,9.0,3.0,9,544.0
2013-01-09,9.0,3.0,10,673.0
2013-01-10,10.0,4.0,1,389.0
2013-01-10,10.0,4.0,2,389.0
2013-01-10,10.0,4.0,3,335.0
2013-01-10,10.0,4.0,4,623.0
2013-01-10,10.0,4.0,6,139.0
2013-01-10,10.0,4.0,7,165.0
2013-01-10,10.0,4.0,8,70.0
2013-01-10,10.0,4.0,9,439.0
2013-01-10,10.0,4.0,10,585.0
2013-01-11,11.0,5.0,1,274.0
2013-01-11,11.0,5.0,2,504.0
2013-01-11,11.0,5.0,3,235.0
2013-01-11,11.0,5.0,4,470.0
2013-01-11,11.0,5.0,6,143.0
2013-01-11,11.0,5.0,7,154.0
2013-01-11,11.0,5.0,8,76.0
2013-01-11,11.0,5.0,9,344.0
2013-01-11,11.0,5.0,10,741.0
2013-01-12,12.0,6.0,1,94.0
2013-01-12,12.0,6.0,4,87.0
2013-01-12,12.0,6.0,6,12.0
2013-01-12,12.0,6.0,7,64.0
2013-01-12,12.0,6.0,8,32.0
2013-01-12,12.0,6.0,9,31.0
2013-01-12,12.0,6.0,10,129.0
2013-01-13,13.0,7.0,1,27.0
2013-01-13,13.0,7.0,3,28.0
2013-01-13,13.0,7.0,9,13.0
2013-01-14,14.0,1.0,1,449.0
2013-01-14,14.0,1.0,2,212.0
2013-01-14,14.0,1.0,3,366.0
2013-01-14,14.0,1.0,4,575.0
2013-01-14,14.0,1.0,6,185.0
2013-01-14,14.0,1.0,7,257.0
2013-01-14,14.0,1.0,8,51.0
2013-01-14,14.0,1.0,9,430.0
2013-01-14,14.0,1.0,10,721.0
2013-01-15,15.0,2.0,1,811.0
2013-01-15,15.0,2.0,2,597.0
2013-01-15,15.0,2.0,3,294.0
2013-01-15,15.0,2.0,4,544.0
2013-01-15,15.0,2.0,6,154.0
2013-01-15,15.0,2.0,7,161.0
2013-01-15,15.0,2.0,8,32.0
2013-01-15,15.0,2.0,9,445.0
2013-01-15,15.0,2.0,10,669.0
2013-01-16,16.0,3.0,1,611.0
2013-01-16,16.0,3.0,2,371.0
2013-01-16,16.0,3.0,3,305.0
2013-01-16,16.0,3.0,4,305.0
2013-01-16,16.0,3.0,6,194.0
2013-01-16,16.0,3.0,7,240.0
2013-01-16,16.0,3.0,9,401.0
2013-01-16,16.0,3.0,10,456.0
2013-01-17,17.0,4.0,1,663.0
2013-01-17,17.0,4.0,2,1094.0
2013-01-17,17.0,4.0,3,575.0
2013-01-17,17.0,4.0,4,735.0
2013-01-17,17.0,4.0,6,588.0
2013-01-17,17.0,4.0,7,802.0
2013-01-17,17.0,4.0,8,116.0
2013-01-17,17.0,4.0,9,1002.0
2013-01-17,17.0,4.0,10,1680.0
2013-01-18,18.0,5.0,1,424.0
2013-01-18,18.0,5.0,2,371.0
2013-01-18,18.0,5.0,3,366.0
2013-01-18,18.0,5.0,4,627.0
2013-01-18,18.0,5.0,6,204.0
2013-01-18,18.0,5.0,7,206.0
2013-01-18,18.0,5.0,8,76.0
2013-01-18,18.0,5.0,9,405.0
2013-01-18,18.0,5.0,10,680.0
2013-01-19,19.0,6.0,1,94.0
2013-01-19,19.0,6.0,3,196.0
2013-01-19,19.0,6.0,4,65.0
2013-01-19,19.0,6.0,6,18.0
2013-01-19,19.0,6.0,7,32.0
2013-01-19,19.0,6.0,9,46.0
2013-01-19,19.0,6.0,10,26.0
2013-01-20,20.0,7.0,1,27.0
2013-01-20,20.0,7.0,6,5.0
2013-01-20,20.0,7.0,7,28.0
2013-01-20,20.0,7.0,9,40.0
2013-01-20,20.0,7.0,10,22.0
2013-01-21,21.0,1.0,1,299.0
2013-01-21,21.0,1.0,2,318.0
2013-01-21,21.0,1.0,3,235.0
2013-01-21,21.0,1.0,4,819.0
2013-01-21,21.0,1.0,6,185.0
2013-01-21,21.0,1.0,7,129.0
2013-01-21,21.0,1.0,8,76.0
2013-01-21,21.0,1.0,9,552.0
2013-01-21,21.0,1.0,10,1071.0
2013-01-22,22.0,2.0,1,686.0
2013-01-22,22.0,2.0,2,166.0
2013-01-22,22.0,2.0,3,98.0
2013-01-22,22.0,2.0,4,610.0
2013-01-22,22.0,2.0,6,166.0
2013-01-22,22.0,2.0,7,322.0
2013-01-22,22.0,2.0,8,63.0
2013-01-22,22.0,2.0,9,583.0
2013-01-22,22.0,2.0,10,618.0
2013-01-23,23.0,3.0,1,582.0
2013-01-23,23.0,3.0,2,124.0
2013-01-23,23.0,3.0,3,305.0
2013-01-23,23.0,3.0,4,447.0
2013-01-23,23.0,3.0,6,122.0
2013-01-23,23.0,3.0,7,120.0
2013-01-23,23.0,3.0,8,30.0
2013-01-23,23.0,3.0,9,387.0
2013-01-23,23.0,3.0,10,865.0
