r_date,date,day_of_week,brand,cnt,month,year,day
2013-01-01,1.0,2.0,1,31.0,1,2013,1
2013-01-01,1.0,2.0,6,6.0,1,2013,1
2013-01-01,1.0,2.0,9,15.0,1,2013,1
2013-01-02,2.0,3.0,4,20.0,1,2013,2
2013-01-02,2.0,3.0,6,6.0,1,2013,2
2013-01-02,2.0,3.0,7,30.0,1,2013,2
2013-01-02,2.0,3.0,10,48.0,1,2013,2
2013-01-03,3.0,4.0,4,16.0,1,2013,3
2013-01-03,3.0,4.0,6,4.0,1,2013,3
2013-01-03,3.0,4.0,8,23.0,1,2013,3
2013-01-04,4.0,5.0,1,898.0,1,2013,4
2013-01-04,4.0,5.0,2,796.0,1,2013,4
2013-01-04,4.0,5.0,3,418.0,1,2013,4
2013-01-04,4.0,5.0,4,1411.0,1,2013,4
2013-01-04,4.0,5.0,6,299.0,1,2013,4
2013-01-04,4.0,5.0,7,257.0,1,2013,4
2013-01-04,4.0,5.0,8,76.0,1,2013,4
2013-01-04,4.0,5.0,9,1314.0,1,2013,4
2013-01-04,4.0,5.0,10,1565.0,1,2013,4
2013-01-05,5.0,6.0,1,842.0,1,2013,5
2013-01-05,5.0,6.0,2,763.0,1,2013,5
2013-01-05,5.0,6.0,3,229.0,1,2013,5
2013-01-05,5.0,6.0,4,1176.0,1,2013,5
2013-01-05,5.0,6.0,6,244.0,1,2013,5
2013-01-05,5.0,6.0,7,354.0,1,2013,5
2013-01-05,5.0,6.0,8,63.0,1,2013,5
2013-01-05,5.0,6.0,9,829.0,1,2013,5
2013-01-05,5.0,6.0,10,1107.0,1,2013,5
2013-01-06,6.0,7.0,1,649.0,1,2013,6
2013-01-06,6.0,7.0,2,259.0,1,2013,6
2013-01-06,6.0,7.0,3,198.0,1,2013,6
2013-01-06,6.0,7.0,4,812.0,1,2013,6
2013-01-06,6.0,7.0,6,134.0,1,2013,6
2013-01-06,6.0,7.0,7,167.0,1,2013,6
2013-01-06,6.0,7.0,8,55.0,1,2013,6
2013-01-06,6.0,7.0,9,412.0,1,2013,6
2013-01-06,6.0,7.0,10,647.0,1,2013,6
2013-01-07,7.0,1.0,1,574.0,1,2013,7
2013-01-07,7.0,1.0,2,371.0,1,2013,7
2013-01-07,7.0,1.0,3,340.0,1,2013,7
2013-01-07,7.0,1.0,4,889.0,1,2013,7
2013-01-07,7.0,1.0,6,157.0,1,2013,7
2013-01-07,7.0,1.0,7,232.0,1,2013,7
2013-01-07,7.0,1.0,8,127.0,1,2013,7
2013-01-07,7.0,1.0,9,381.0,1,2013,7
2013-01-07,7.0,1.0,10,638.0,1,2013,7
2013-01-08,8.0,2.0,1,842.0,1,2013,8
2013-01-08,8.0,2.0,2,597.0,1,2013,8
2013-01-08,8.0,2.0,3,294.0,1,2013,8
2013-01-08,8.0,2.0,4,893.0,1,2013,8
2013-01-08,8.0,2.0,6,202.0,1,2013,8
2013-01-08,8.0,2.0,7,386.0,1,2013,8
2013-01-08,8.0,2.0,8,190.0,1,2013,8
2013-01-08,8.0,2.0,9,399.0,1,2013,8
2013-01-08,8.0,2.0,10,695.0,1,2013,8
2013-01-09,9.0,3.0,1,640.0,1,2013,9
2013-01-09,9.0,3.0,2,557.0,1,2013,9
2013-01-09,9.0,3.0,3,488.0,1,2013,9
2013-01-09,9.0,3.0,4,569.0,1,2013,9
2013-01-09,9.0,3.0,6,161.0,1,2013,9
2013-01-09,9.0,3.0,7,270.0,1,2013,9
2013-01-09,9.0,3.0,8,59.0,1,2013,9
2013-01-09,9.0,3.0,9,544.0,1,2013,9
2013-01-09,9.0,3.0,10,673.0,1,2013,9
2013-01-10,10.0,4.0,1,389.0,1,2013,10
2013-01-10,10.0,4.0,2,389.0,1,2013,10
2013-01-10,10.0,4.0,3,335.0,1,2013,10
2013-01-10,10.0,4.0,4,623.0,1,2013,10
2013-01-10,10.0,4.0,6,139.0,1,2013,10
2013-01-10,10.0,4.0,7,165.0,1,2013,10
2013-01-10,10.0,4.0,8,70.0,1,2013,10
2013-01-10,10.0,4.0,9,439.0,1,2013,10
2013-01-10,10.0,4.0,10,585.0,1,2013,10
2013-01-11,11.0,5.0,1,274.0,1,2013,11
