brand,cnt,date,day,day_of_week,month,r_date,year
1,31.0,1.0,1,2.0,1,2013-01-01,2013
6,6.0,1.0,1,2.0,1,2013-01-01,2013
9,15.0,1.0,1,2.0,1,2013-01-01,2013
4,20.0,2.0,2,3.0,1,2013-01-02,2013
6,6.0,2.0,2,3.0,1,2013-01-02,2013
7,30.0,2.0,2,3.0,1,2013-01-02,2013
10,48.0,2.0,2,3.0,1,2013-01-02,2013
4,16.0,3.0,3,4.0,1,2013-01-03,2013
6,4.0,3.0,3,4.0,1,2013-01-03,2013
8,23.0,3.0,3,4.0,1,2013-01-03,2013
1,898.0,4.0,4,5.0,1,2013-01-04,2013
2,796.0,4.0,4,5.0,1,2013-01-04,2013
3,418.0,4.0,4,5.0,1,2013-01-04,2013
4,1411.0,4.0,4,5.0,1,2013-01-04,2013
6,299.0,4.0,4,5.0,1,2013-01-04,2013
7,257.0,4.0,4,5.0,1,2013-01-04,2013
8,76.0,4.0,4,5.0,1,2013-01-04,2013
9,1314.0,4.0,4,5.0,1,2013-01-04,2013
10,1565.0,4.0,4,5.0,1,2013-01-04,2013
1,842.0,5.0,5,6.0,1,2013-01-05,2013
2,763.0,5.0,5,6.0,1,2013-01-05,2013
3,229.0,5.0,5,6.0,1,2013-01-05,2013
4,1176.0,5.0,5,6.0,1,2013-01-05,2013
6,244.0,5.0,5,6.0,1,2013-01-05,2013
7,354.0,5.0,5,6.0,1,2013-01-05,2013
8,63.0,5.0,5,6.0,1,2013-01-05,2013
9,829.0,5.0,5,6.0,1,2013-01-05,2013
10,1107.0,5.0,5,6.0,1,2013-01-05,2013
1,649.0,6.0,6,7.0,1,2013-01-06,2013
2,259.0,6.0,6,7.0,1,2013-01-06,2013
3,198.0,6.0,6,7.0,1,2013-01-06,2013
4,812.0,6.0,6,7.0,1,2013-01-06,2013
6,134.0,6.0,6,7.0,1,2013-01-06,2013
7,167.0,6.0,6,7.0,1,2013-01-06,2013
8,55.0,6.0,6,7.0,1,2013-01-06,2013
9,412.0,6.0,6,7.0,1,2013-01-06,2013
10,647.0,6.0,6,7.0,1,2013-01-06,2013
1,574.0,7.0,7,1.0,1,2013-01-07,2013
2,371.0,7.0,7,1.0,1,2013-01-07,2013
3,340.0,7.0,7,1.0,1,2013-01-07,2013
4,889.0,7.0,7,1.0,1,2013-01-07,2013
6,157.0,7.0,7,1.0,1,2013-01-07,2013
7,232.0,7.0,7,1.0,1,2013-01-07,2013
8,127.0,7.0,7,1.0,1,2013-01-07,2013
9,381.0,7.0,7,1.0,1,2013-01-07,2013
10,638.0,7.0,7,1.0,1,2013-01-07,2013
1,842.0,8.0,8,2.0,1,2013-01-08,2013
2,597.0,8.0,8,2.0,1,2013-01-08,2013
3,294.0,8.0,8,2.0,1,2013-01-08,2013
4,893.0,8.0,8,2.0,1,2013-01-08,2013
6,202.0,8.0,8,2.0,1,2013-01-08,2013
7,386.0,8.0,8,2.0,1,2013-01-08,2013
8,190.0,8.0,8,2.0,1,2013-01-08,2013
9,399.0,8.0,8,2.0,1,2013-01-08,2013
10,695.0,8.0,8,2.0,1,2013-01-08,2013
1,640.0,9.0,9,3.0,1,2013-01-09,2013
2,557.0,9.0,9,3.0,1,2013-01-09,2013
3,488.0,9.0,9,3.0,1,2013-01-09,2013
4,569.0,9.0,9,3.0,1,2013-01-09,2013
6,161.0,9.0,9,3.0,1,2013-01-09,2013
7,270.0,9.0,9,3.0,1,2013-01-09,2013
8,59.0,9.0,9,3.0,1,2013-01-09,2013
9,544.0,9.0,9,3.0,1,2013-01-09,2013
10,673.0,9.0,9,3.0,1,2013-01-09,2013
1,389.0,10.0,10,4.0,1,2013-01-10,2013
2,389.0,10.0,10,4.0,1,2013-01-10,2013
3,335.0,10.0,10,4.0,1,2013-01-10,2013
4,623.0,10.0,10,4.0,1,2013-01-10,2013
6,139.0,10.0,10,4.0,1,2013-01-10,2013
7,165.0,10.0,10,4.0,1,2013-01-10,2013
8,70.0,10.0,10,4.0,1,2013-01-10,2013
9,439.0,10.0,10,4.0,1,2013-01-10,2013
10,585.0,10.0,10,4.0,1,2013-01-10,2013
1,274.0,11.0,11,5.0,1,2013-01-11,2013
2,504.0,11.0,11,5.0,1,2013-01-11,2013
3,235.0,11.0,11,5.0,1,2013-01-11,2013
4,470.0,11.0,11,5.0,1,2013-01-11,2013
6,143.0,11.0,11,5.0,1,2013-01-11,2013
7,154.0,11.0,11,5.0,1,2013-01-11,2013
8,76.0,11.0,11,5.0,1,2013-01-11,2013
9,344.0,11.0,11,5.0,1,2013-01-11,2013
10,741.0,11.0,11,5.0,1,2013-01-11,2013
1,94.0,12.0,12,6.0,1,2013-01-12,2013
4,87.0,12.0,12,6.0,1,2013-01-12,2013
6,12.0,12.0,12,6.0,1,2013-01-12,2013
7,64.0,12.0,12,6.0,1,2013-01-12,2013
8,32.0,12.0,12,6.0,1,2013-01-12,2013
9,31.0,12.0,12,6.0,1,2013-01-12,2013
10,129.0,12.0,12,6.0,1,2013-01-12,2013
1,27.0,13.0,13,7.0,1,2013-01-13,2013
3,28.0,13.0,13,7.0,1,2013-01-13,2013
9,13.0,13.0,13,7.0,1,2013-01-13,2013
1,449.0,14.0,14,1.0,1,2013-01-14,2013
2,212.0,14.0,14,1.0,1,2013-01-14,2013
3,366.0,14.0,14,1.0,1,2013-01-14,2013
4,575.0,14.0,14,1.0,1,2013-01-14,2013
6,185.0,14.0,14,1.0,1,2013-01-14,2013
7,257.0,14.0,14,1.0,1,2013-01-14,2013
8,51.0,14.0,14,1.0,1,2013-01-14,2013
9,430.0,14.0,14,1.0,1,2013-01-14,2013
10,721.0,14.0,14,1.0,1,2013-01-14,2013
1,811.0,15.0,15,2.0,1,2013-01-15,2013
2,597.0,15.0,15,2.0,1,2013-01-15,2013
3,294.0,15.0,15,2.0,1,2013-01-15,2013
4,544.0,15.0,15,2.0,1,2013-01-15,2013
6,154.0,15.0,15,2.0,1,2013-01-15,2013
7,161.0,15.0,15,2.0,1,2013-01-15,2013
8,32.0,15.0,15,2.0,1,2013-01-15,2013
9,445.0,15.0,15,2.0,1,2013-01-15,2013
10,669.0,15.0,15,2.0,1,2013-01-15,2013
1,611.0,16.0,16,3.0,1,2013-01-16,2013
2,371.0,16.0,16,3.0,1,2013-01-16,2013
3,305.0,16.0,16,3.0,1,2013-01-16,2013
4,305.0,16.0,16,3.0,1,2013-01-16,2013
6,194.0,16.0,16,3.0,1,2013-01-16,2013
7,240.0,16.0,16,3.0,1,2013-01-16,2013
9,401.0,16.0,16,3.0,1,2013-01-16,2013
10,456.0,16.0,16,3.0,1,2013-01-16,2013
1,663.0,17.0,17,4.0,1,2013-01-17,2013
2,1094.0,17.0,17,4.0,1,2013-01-17,2013
3,575.0,17.0,17,4.0,1,2013-01-17,2013
4,735.0,17.0,17,4.0,1,2013-01-17,2013
6,588.0,17.0,17,4.0,1,2013-01-17,2013
7,802.0,17.0,17,4.0,1,2013-01-17,2013
8,116.0,17.0,17,4.0,1,2013-01-17,2013
9,1002.0,17.0,17,4.0,1,2013-01-17,2013
10,1680.0,17.0,17,4.0,1,2013-01-17,2013
1,424.0,18.0,18,5.0,1,2013-01-18,2013
2,371.0,18.0,18,5.0,1,2013-01-18,2013
3,366.0,18.0,18,5.0,1,2013-01-18,2013
4,627.0,18.0,18,5.0,1,2013-01-18,2013
6,204.0,18.0,18,5.0,1,2013-01-18,2013
7,206.0,18.0,18,5.0,1,2013-01-18,2013
8,76.0,18.0,18,5.0,1,2013-01-18,2013
9,405.0,18.0,18,5.0,1,2013-01-18,2013
10,680.0,18.0,18,5.0,1,2013-01-18,2013
1,94.0,19.0,19,6.0,1,2013-01-19,2013
3,196.0,19.0,19,6.0,1,2013-01-19,2013
4,65.0,19.0,19,6.0,1,2013-01-19,2013
6,18.0,19.0,19,6.0,1,2013-01-19,2013
7,32.0,19.0,19,6.0,1,2013-01-19,2013
9,46.0,19.0,19,6.0,1,2013-01-19,2013
10,26.0,19.0,19,6.0,1,2013-01-19,2013
1,27.0,20.0,20,7.0,1,2013-01-20,2013
6,5.0,20.0,20,7.0,1,2013-01-20,2013
7,28.0,20.0,20,7.0,1,2013-01-20,2013
9,40.0,20.0,20,7.0,1,2013-01-20,2013
10,22.0,20.0,20,7.0,1,2013-01-20,2013
1,299.0,21.0,21,1.0,1,2013-01-21,2013
2,318.0,21.0,21,1.0,1,2013-01-21,2013
3,235.0,21.0,21,1.0,1,2013-01-21,2013
4,819.0,21.0,21,1.0,1,2013-01-21,2013
6,185.0,21.0,21,1.0,1,2013-01-21,2013
7,129.0,21.0,21,1.0,1,2013-01-21,2013
8,76.0,21.0,21,1.0,1,2013-01-21,2013
9,552.0,21.0,21,1.0,1,2013-01-21,2013
10,1071.0,21.0,21,1.0,1,2013-01-21,2013
1,686.0,22.0,22,2.0,1,2013-01-22,2013
2,166.0,22.0,22,2.0,1,2013-01-22,2013
3,98.0,22.0,22,2.0,1,2013-01-22,2013
4,610.0,22.0,22,2.0,1,2013-01-22,2013
6,166.0,22.0,22,2.0,1,2013-01-22,2013
7,322.0,22.0,22,2.0,1,2013-01-22,2013
8,63.0,22.0,22,2.0,1,2013-01-22,2013
9,583.0,22.0,22,2.0,1,2013-01-22,2013
10,618.0,22.0,22,2.0,1,2013-01-22,2013
1,582.0,23.0,23,3.0,1,2013-01-23,2013
2,124.0,23.0,23,3.0,1,2013-01-23,2013
3,305.0,23.0,23,3.0,1,2013-01-23,2013
4,447.0,23.0,23,3.0,1,2013-01-23,2013
6,122.0,23.0,23,3.0,1,2013-01-23,2013
7,120.0,23.0,23,3.0,1,2013-01-23,2013
8,30.0,23.0,23,3.0,1,2013-01-23,2013
9,387.0,23.0,23,3.0,1,2013-01-23,2013
10,865.0,23.0,23,3.0,1,2013-01-23,2013
1,320.0,24.0,24,4.0,1,2013-01-24,2013
2,97.0,24.0,24,4.0,1,2013-01-24,2013
3,192.0,24.0,24,4.0,1,2013-01-24,2013
4,447.0,24.0,24,4.0,1,2013-01-24,2013
6,135.0,24.0,24,4.0,1,2013-01-24,2013
7,212.0,24.0,24,4.0,1,2013-01-24,2013
8,46.0,24.0,24,4.0,1,2013-01-24,2013
9,315.0,24.0,24,4.0,1,2013-01-24,2013
10,491.0,24.0,24,4.0,1,2013-01-24,2013
